pose,d0,d1,d2,d3
x,-0.1537,0.0192,-0.1092,-0.2488
y,-0.1467,0.1993,0.0034,0.0736
cos_th,-0.0144,0.0611,0.1577,-0.7257
sin_th,0.1832,-0.1212,-0.5485,-0.1345
