probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,0.0000,0.0000
linear,0.0935,0.0689,0.0632,62.4278,49.2824,0.9070,0.9184
mlp,0.0610,0.0439,0.0423,54.9131,34.6975,0.9622,0.9635
