t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.67000,0.95993,0.17000,55.000
1,0.15255,0.67401,1.00441,0.17401,57.549
2,0.15600,0.67727,0.75735,0.17727,43.393
3,0.16515,0.68238,0.50920,0.18238,29.175
4,0.18094,0.68977,0.43750,0.18977,25.067
5,0.20503,0.69644,0.27039,0.19644,15.492
6,0.22928,0.70032,0.15848,0.20032,9.080
7,0.25416,0.69805,-0.09073,0.19805,-5.199
8,0.27822,0.69169,-0.25863,0.19169,-14.819
9,0.29591,0.68548,-0.33738,0.18548,-19.331
10,0.31792,0.67720,-0.35991,0.17720,-20.621
11,0.33826,0.66860,-0.39994,0.16860,-22.915
12,0.35807,0.66240,-0.30345,0.16240,-17.386
13,0.38025,0.65569,-0.29347,0.15569,-16.815
14,0.40137,0.64876,-0.31746,0.14876,-18.189
15,0.42399,0.64088,-0.33502,0.14088,-19.195
16,0.44650,0.63230,-0.36413,0.13230,-20.863
17,0.46855,0.62459,-0.33640,0.12459,-19.274
18,0.48848,0.61733,-0.34951,0.11733,-20.025
