t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.60000,0.95993,0.10000,55.000
1,0.15254,0.60401,1.00641,0.10401,57.663
2,0.16268,0.61444,0.79941,0.11444,45.803
3,0.17340,0.62234,0.63520,0.12234,36.394
4,0.18595,0.63079,0.59226,0.13079,33.934
5,0.19811,0.63638,0.43118,0.13638,24.705
6,0.21378,0.64051,0.25749,0.14051,14.753
7,0.22858,0.64214,0.10991,0.14214,6.298
8,0.24476,0.64221,0.00445,0.14221,0.255
9,0.26166,0.64128,-0.05522,0.14128,-3.164
10,0.27974,0.63833,-0.16154,0.13833,-9.255
11,0.29650,0.63467,-0.21500,0.13467,-12.318
12,0.31418,0.63094,-0.20828,0.13094,-11.934
13,0.33229,0.62720,-0.20371,0.12720,-11.672
14,0.35007,0.62232,-0.26783,0.12232,-15.346
15,0.36861,0.61735,-0.26164,0.11735,-14.991
16,0.38674,0.61263,-0.25475,0.11263,-14.596
17,0.40414,0.60790,-0.26549,0.10790,-15.211
18,0.42151,0.60355,-0.24511,0.10355,-14.044
