t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.60000,0.95993,0.10000,55.000
1,0.15254,0.60401,1.00641,0.10401,57.663
2,0.16531,0.61703,0.79515,0.11703,45.559
3,0.18261,0.63175,0.70471,0.13175,40.377
4,0.20327,0.64563,0.59159,0.14563,33.896
5,0.21953,0.65455,0.50209,0.15455,28.768
6,0.24151,0.66379,0.39791,0.16379,22.799
7,0.25310,0.66722,0.28808,0.16722,16.506
8,0.26810,0.66949,0.14957,0.16949,8.569
9,0.28774,0.66987,0.01978,0.16987,1.133
10,0.30822,0.66724,-0.12807,0.16724,-7.338
11,0.32744,0.66311,-0.21168,0.16311,-12.128
12,0.34692,0.65778,-0.26692,0.15778,-15.294
13,0.36974,0.65265,-0.22096,0.15265,-12.660
14,0.39136,0.64543,-0.32236,0.14543,-18.470
15,0.41140,0.63922,-0.30077,0.13922,-17.233
16,0.43292,0.63187,-0.32875,0.13187,-18.836
17,0.45360,0.62464,-0.33669,0.12464,-19.291
18,0.47502,0.61727,-0.33105,0.11727,-18.968
