t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.63000,0.95993,0.13000,55.000
1,0.16267,0.64629,0.90992,0.14629,52.135
2,0.17499,0.65811,0.76421,0.15811,43.786
3,0.19238,0.66933,0.57297,0.16933,32.829
4,0.20615,0.67635,0.47205,0.17635,27.046
5,0.22021,0.68107,0.32355,0.18107,18.538
6,0.23981,0.68462,0.17902,0.18462,10.257
7,0.25910,0.68483,0.01104,0.18483,0.633
8,0.27953,0.68287,-0.09583,0.18287,-5.491
9,0.29961,0.67972,-0.15524,0.17972,-8.895
10,0.32080,0.67475,-0.23057,0.17475,-13.211
11,0.34202,0.67003,-0.21862,0.17003,-12.526
12,0.36485,0.66505,-0.21489,0.16505,-12.312
13,0.38800,0.65940,-0.23955,0.15940,-13.725
14,0.40934,0.65242,-0.31587,0.15242,-18.098
15,0.43156,0.64491,-0.32621,0.14491,-18.690
16,0.45431,0.63729,-0.32294,0.13729,-18.503
17,0.47593,0.63097,-0.28462,0.13097,-16.308
18,0.49797,0.62458,-0.28202,0.12458,-16.159
