t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16170,0.51164,0.78274,0.01164,44.848,0.16501
2,0.16934,0.51877,0.75095,0.01877,43.026,0.10453
3,0.17948,0.52793,0.73492,0.02793,42.108,0.13663
4,0.19588,0.54027,0.64497,0.04027,36.954,0.20530
5,0.21985,0.55304,0.48940,0.05304,28.040,0.27151
6,0.23952,0.56102,0.38560,0.06102,22.093,0.21234
7,0.25854,0.56676,0.29313,0.06676,16.795,0.19863
8,0.27385,0.57030,0.22711,0.07030,13.013,0.15712
9,0.29115,0.57302,0.15610,0.07302,8.944,0.17519
10,0.30241,0.57455,0.13435,0.07455,7.698,0.11361
11,0.30961,0.57538,0.11534,0.07538,6.609,0.07243
12,0.31739,0.57619,0.10392,0.07619,5.954,0.07822
13,0.32752,0.57713,0.09258,0.07713,5.304,0.10176
14,0.33414,0.57767,0.08067,0.07767,4.622,0.06641
15,0.34295,0.57832,0.07434,0.07832,4.259,0.08839
16,0.35448,0.57900,0.05896,0.07900,3.378,0.11549
17,0.36267,0.57948,0.05776,0.07948,3.309,0.08200
18,0.37058,0.57990,0.05288,0.07990,3.030,0.07929
19,0.37991,0.58027,0.03968,0.08027,2.273,0.09329
20,0.38795,0.58055,0.03554,0.08055,2.036,0.08050
21,0.39687,0.58078,0.02577,0.08078,1.476,0.08923
22,0.40319,0.58092,0.02132,0.08092,1.222,0.06323
23,0.41046,0.58101,0.01227,0.08101,0.703,0.07267
24,0.41546,0.58105,0.00942,0.08105,0.540,0.05000
25,0.42387,0.58104,-0.00119,0.08104,-0.068,0.08413
26,0.43381,0.58099,-0.00505,0.08099,-0.290,0.09942
27,0.44325,0.58093,-0.00675,0.08093,-0.387,0.09439
28,0.45136,0.58083,-0.01251,0.08083,-0.717,0.08105
29,0.45821,0.58074,-0.01207,0.08074,-0.692,0.06856
30,0.46658,0.58061,-0.01583,0.08061,-0.907,0.08369
