t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16390,0.51331,0.76388,0.01331,43.767,0.19246
2,0.17887,0.52521,0.67158,0.02521,38.478,0.19119
3,0.19752,0.53661,0.54851,0.03661,31.427,0.21866
4,0.21625,0.54600,0.46485,0.04600,26.634,0.20945
5,0.22970,0.55164,0.39688,0.05164,22.740,0.14586
6,0.24656,0.55715,0.31578,0.05715,18.093,0.17743
7,0.26125,0.56091,0.25066,0.06091,14.362,0.15157
8,0.27155,0.56311,0.21083,0.06311,12.080,0.10539
9,0.27689,0.56417,0.19469,0.06417,11.155,0.05439
10,0.28181,0.56506,0.17979,0.06506,10.301,0.05000
11,0.28673,0.56593,0.17478,0.06593,10.014,0.05000
12,0.29216,0.56683,0.16371,0.06683,9.380,0.05503
13,0.30065,0.56803,0.14076,0.06803,8.065,0.08573
14,0.30561,0.56866,0.12733,0.06866,7.295,0.05000
15,0.31058,0.56923,0.11448,0.06923,6.559,0.05000
16,0.31689,0.56987,0.10075,0.06987,5.772,0.06346
17,0.32187,0.57036,0.09733,0.07036,5.577,0.05000
18,0.32685,0.57079,0.08608,0.07079,4.932,0.05000
19,0.33184,0.57116,0.07431,0.07116,4.258,0.05000
20,0.33731,0.57153,0.06736,0.07153,3.859,0.05489
21,0.34230,0.57185,0.06357,0.07185,3.642,0.05000
22,0.34729,0.57213,0.05643,0.07213,3.233,0.05000
23,0.35353,0.57240,0.04318,0.07240,2.474,0.06239
24,0.35852,0.57259,0.03772,0.07259,2.161,0.05000
25,0.36352,0.57274,0.03155,0.07274,1.808,0.05000
26,0.36852,0.57288,0.02753,0.07288,1.577,0.05000
27,0.37352,0.57300,0.02361,0.07300,1.353,0.05000
28,0.37852,0.57308,0.01665,0.07308,0.954,0.05000
29,0.38352,0.57315,0.01330,0.07315,0.762,0.05000
30,0.38852,0.57319,0.00804,0.07319,0.461,0.05000
