t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16236,0.51192,0.76727,0.01192,43.961,0.17170
2,0.17500,0.52269,0.70572,0.02269,40.435,0.16608
3,0.19235,0.53561,0.64020,0.03561,36.681,0.21630
4,0.21462,0.54808,0.51028,0.04808,29.237,0.25524
5,0.23888,0.55731,0.36359,0.05731,20.832,0.25952
6,0.26018,0.56291,0.25701,0.06291,14.726,0.22025
7,0.27860,0.56617,0.17527,0.06617,10.042,0.18711
8,0.29574,0.56795,0.10366,0.06795,5.939,0.17234
9,0.31243,0.56864,0.04142,0.06864,2.373,0.16696
10,0.32209,0.56901,0.03766,0.06901,2.158,0.09669
11,0.32887,0.56917,0.02333,0.06917,1.337,0.06783
12,0.33606,0.56926,0.01289,0.06926,0.739,0.07195
13,0.34303,0.56932,0.00877,0.06932,0.503,0.06967
14,0.34803,0.56934,0.00351,0.06934,0.201,0.05000
15,0.35677,0.56933,-0.00141,0.06933,-0.081,0.08744
16,0.36799,0.56916,-0.01440,0.06916,-0.825,0.11213
17,0.37610,0.56898,-0.02219,0.06898,-1.271,0.08119
18,0.38327,0.56880,-0.02619,0.06880,-1.501,0.07164
19,0.39345,0.56833,-0.04559,0.06833,-2.612,0.10192
20,0.40243,0.56794,-0.04364,0.06794,-2.501,0.08994
21,0.41001,0.56755,-0.05150,0.06755,-2.951,0.07590
22,0.41692,0.56718,-0.05337,0.06718,-3.058,0.06916
23,0.42475,0.56670,-0.06048,0.06670,-3.465,0.07850
24,0.43062,0.56635,-0.06013,0.06635,-3.445,0.05877
25,0.43759,0.56590,-0.06429,0.06590,-3.683,0.06989
26,0.44730,0.56532,-0.06025,0.06532,-3.452,0.09726
27,0.45670,0.56478,-0.05727,0.06478,-3.282,0.09417
28,0.46469,0.56427,-0.06348,0.06427,-3.637,0.08007
29,0.47222,0.56382,-0.05993,0.06382,-3.434,0.07539
30,0.48104,0.56328,-0.06110,0.06328,-3.501,0.08835
