t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16588,0.51425,0.73140,0.01425,41.906,0.21339
2,0.18515,0.52855,0.63838,0.02855,36.576,0.24000
3,0.20726,0.54233,0.55741,0.04233,31.937,0.26051
4,0.23281,0.55392,0.42567,0.05392,24.389,0.28056
5,0.25921,0.56174,0.28790,0.06174,16.496,0.27530
6,0.28120,0.56699,0.23462,0.06699,13.443,0.22611
7,0.30813,0.57014,0.11626,0.07014,6.661,0.27112
8,0.33574,0.57152,0.05013,0.07152,2.872,0.27642
9,0.36080,0.57151,-0.00073,0.07151,-0.042,0.25061
10,0.38101,0.57128,-0.01103,0.07128,-0.632,0.20211
11,0.40172,0.57031,-0.04694,0.07031,-2.690,0.20732
12,0.42840,0.56774,-0.09601,0.06774,-5.501,0.26802
13,0.45162,0.56609,-0.07108,0.06609,-4.073,0.23279
14,0.47145,0.56441,-0.08422,0.06441,-4.825,0.19897
15,0.49431,0.56198,-0.10598,0.06198,-6.072,0.22997
16,0.51891,0.56003,-0.07906,0.06003,-4.530,0.24673
17,0.54026,0.55791,-0.09927,0.05791,-5.688,0.21455
18,0.56316,0.55574,-0.09433,0.05574,-5.405,0.23006
19,0.59209,0.55249,-0.11179,0.05249,-6.405,0.29110
20,0.61621,0.55076,-0.07161,0.05076,-4.103,0.24179
21,0.64087,0.54808,-0.10842,0.04808,-6.212,0.24812
22,0.66401,0.54583,-0.09667,0.04583,-5.539,0.23242
23,0.68925,0.54304,-0.11007,0.04304,-6.307,0.25398
24,0.71121,0.54068,-0.10722,0.04068,-6.143,0.22086
25,0.73530,0.53771,-0.12265,0.03771,-7.027,0.24271
26,0.75909,0.53501,-0.11287,0.03501,-6.467,0.23946
27,0.78270,0.53346,-0.06566,0.03346,-3.762,0.23658
28,0.80420,0.53121,-0.10439,0.03121,-5.981,0.21621
29,0.82646,0.52972,-0.06677,0.02972,-3.826,0.22305
30,0.84763,0.52799,-0.08154,0.02799,-4.672,0.21240
