t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16780,0.51721,0.76869,0.01721,44.043,0.24758
2,0.18194,0.53127,0.78226,0.03127,44.820,0.19939
3,0.20141,0.54586,0.64330,0.04586,36.858,0.24333
4,0.22782,0.55945,0.47509,0.05945,27.221,0.29699
5,0.26048,0.56883,0.27973,0.06883,16.028,0.33984
6,0.29090,0.57436,0.17983,0.07436,10.303,0.30920
7,0.32009,0.57796,0.12278,0.07796,7.035,0.29410
8,0.34885,0.57876,0.02789,0.07876,1.598,0.28772
9,0.36859,0.57868,-0.00415,0.07868,-0.237,0.19742
10,0.39589,0.57656,-0.07754,0.07656,-4.443,0.27377
11,0.41930,0.57543,-0.04833,0.07543,-2.769,0.23434
12,0.44535,0.57308,-0.09008,0.07308,-5.161,0.26155
13,0.47176,0.57034,-0.10306,0.07034,-5.905,0.26554
14,0.49874,0.56676,-0.13227,0.06676,-7.578,0.27214
15,0.52251,0.56376,-0.12543,0.06376,-7.186,0.23966
16,0.54779,0.56137,-0.09403,0.06137,-5.387,0.25388
17,0.57266,0.55867,-0.10816,0.05867,-6.197,0.25015
18,0.59735,0.55614,-0.10240,0.05614,-5.867,0.24821
19,0.62704,0.55230,-0.12842,0.05230,-7.358,0.29941
20,0.65271,0.54959,-0.10533,0.04959,-6.035,0.25806
21,0.68087,0.54650,-0.10932,0.04650,-6.263,0.28331
22,0.70379,0.54450,-0.08701,0.04450,-4.985,0.23006
23,0.72849,0.54232,-0.08801,0.04232,-5.043,0.24798
24,0.75569,0.53929,-0.11091,0.03929,-6.354,0.27369
25,0.78124,0.53566,-0.14096,0.03566,-8.077,0.25804
26,0.80545,0.53260,-0.12593,0.03260,-7.215,0.24405
27,0.82995,0.53066,-0.07911,0.03066,-4.533,0.24576
28,0.85410,0.52819,-0.10179,0.02819,-5.832,0.24276
29,0.87923,0.52682,-0.05444,0.02682,-3.119,0.25163
30,0.90476,0.52502,-0.07044,0.02502,-4.036,0.25597
