t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16238,0.51187,0.76465,0.01187,43.811,0.17153
2,0.17650,0.52425,0.71949,0.02425,41.224,0.18771
3,0.19506,0.53793,0.63528,0.03793,36.399,0.23065
4,0.21980,0.55105,0.48751,0.05105,27.933,0.28000
5,0.24442,0.55988,0.34445,0.05988,19.735,0.26160
6,0.26713,0.56549,0.24217,0.06549,13.875,0.23387
7,0.28654,0.56867,0.16241,0.06867,9.305,0.19666
8,0.30663,0.57047,0.08950,0.07047,5.128,0.20177
9,0.32457,0.57101,0.02997,0.07101,1.717,0.17950
10,0.34007,0.57126,0.01601,0.07126,0.918,0.15495
11,0.35332,0.57114,-0.00875,0.07114,-0.501,0.13251
12,0.36773,0.57058,-0.03885,0.07058,-2.226,0.14420
13,0.38184,0.56985,-0.05184,0.06985,-2.970,0.14131
14,0.39221,0.56922,-0.06114,0.06922,-3.503,0.10389
15,0.40597,0.56828,-0.06811,0.06828,-3.902,0.13799
16,0.42320,0.56710,-0.06801,0.06710,-3.897,0.17268
17,0.43679,0.56596,-0.08429,0.06596,-4.830,0.13637
18,0.44969,0.56489,-0.08246,0.06489,-4.725,0.12942
19,0.46779,0.56300,-0.10377,0.06300,-5.946,0.18203
20,0.48485,0.56173,-0.07437,0.06173,-4.261,0.17104
21,0.49965,0.56045,-0.08617,0.06045,-4.937,0.14857
22,0.51447,0.55916,-0.08699,0.05916,-4.984,0.14872
23,0.53079,0.55747,-0.10342,0.05747,-5.926,0.16409
24,0.54670,0.55594,-0.09554,0.05594,-5.474,0.15984
25,0.56187,0.55438,-0.10254,0.05438,-5.875,0.15251
26,0.57927,0.55252,-0.10677,0.05252,-6.117,0.17500
27,0.59457,0.55104,-0.09636,0.05104,-5.521,0.15371
28,0.60858,0.54956,-0.10494,0.04956,-6.013,0.14083
29,0.62188,0.54825,-0.09810,0.04825,-5.621,0.13368
30,0.63614,0.54676,-0.10444,0.04676,-5.984,0.14332
