t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16629,0.51477,0.73668,0.01477,42.209,0.21990
2,0.18548,0.52884,0.63247,0.02884,36.238,0.23796
3,0.20762,0.54159,0.52232,0.04159,29.927,0.25550
4,0.23079,0.55171,0.41191,0.05171,23.601,0.25285
5,0.25049,0.55826,0.32103,0.05826,18.394,0.20752
6,0.27237,0.56398,0.25569,0.06398,14.650,0.22619
7,0.29866,0.56759,0.13651,0.06759,7.822,0.26539
8,0.32437,0.56931,0.06686,0.06931,3.831,0.25769
9,0.34477,0.56983,0.02541,0.06983,1.456,0.20399
10,0.36207,0.56988,0.00284,0.06988,0.163,0.17307
11,0.37882,0.56980,-0.00466,0.06980,-0.267,0.16748
12,0.40157,0.56887,-0.04087,0.06887,-2.342,0.22770
13,0.42248,0.56792,-0.04554,0.06792,-2.609,0.20926
14,0.43802,0.56695,-0.06229,0.06695,-3.569,0.15568
15,0.45709,0.56539,-0.08170,0.06539,-4.681,0.19141
16,0.47975,0.56361,-0.07810,0.06361,-4.475,0.22728
17,0.49858,0.56207,-0.08188,0.06207,-4.692,0.18896
18,0.51879,0.56040,-0.08252,0.06040,-4.728,0.20272
19,0.54163,0.55802,-0.10385,0.05802,-5.950,0.22971
20,0.56354,0.55643,-0.07245,0.05643,-4.151,0.21964
21,0.58693,0.55412,-0.09813,0.05412,-5.622,0.23502
22,0.60604,0.55235,-0.09276,0.05235,-5.315,0.19192
23,0.62822,0.54995,-0.10754,0.04995,-6.161,0.22308
24,0.64716,0.54791,-0.10763,0.04791,-6.167,0.19053
25,0.66790,0.54538,-0.12138,0.04538,-6.954,0.20892
26,0.68997,0.54282,-0.11548,0.04282,-6.616,0.22220
27,0.71007,0.54116,-0.08195,0.04116,-4.696,0.20170
28,0.72866,0.53907,-0.11231,0.03907,-6.435,0.18698
29,0.74763,0.53740,-0.08756,0.03740,-5.017,0.19047
30,0.76593,0.53561,-0.09743,0.03561,-5.582,0.18387
