t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16144,0.51126,0.77749,0.01126,44.547,0.16053
2,0.17200,0.52159,0.77458,0.02159,44.380,0.14771
3,0.18862,0.53567,0.70269,0.03567,40.261,0.21781
4,0.21261,0.55082,0.56316,0.05082,32.267,0.28371
5,0.23713,0.56184,0.42250,0.06184,24.207,0.26886
6,0.26135,0.56996,0.32341,0.06996,18.530,0.25544
7,0.28292,0.57490,0.22544,0.07490,12.917,0.22127
8,0.30629,0.57772,0.11994,0.07772,6.872,0.23540
9,0.32537,0.57875,0.05411,0.07875,3.100,0.19110
10,0.34555,0.57930,0.02707,0.07930,1.551,0.20189
11,0.36159,0.57933,0.00156,0.07933,0.089,0.16034
12,0.37935,0.57857,-0.04240,0.07857,-2.429,0.17777
13,0.39843,0.57741,-0.06094,0.07741,-3.492,0.19114
14,0.41447,0.57634,-0.06638,0.07634,-3.803,0.16076
15,0.43188,0.57521,-0.06470,0.07521,-3.707,0.17451
16,0.45320,0.57375,-0.06861,0.07375,-3.931,0.21371
17,0.47140,0.57192,-0.09994,0.07192,-5.726,0.18290
18,0.48872,0.57042,-0.08671,0.07042,-4.968,0.17388
19,0.51008,0.56789,-0.11763,0.06789,-6.740,0.21509
20,0.52924,0.56619,-0.08852,0.06619,-5.072,0.19233
21,0.54877,0.56421,-0.10099,0.06421,-5.786,0.19629
22,0.56659,0.56253,-0.09421,0.06253,-5.398,0.17896
23,0.58576,0.56045,-0.10801,0.06045,-6.189,0.19281
24,0.60456,0.55869,-0.09329,0.05869,-5.345,0.18889
25,0.62382,0.55677,-0.09952,0.05677,-5.702,0.19352
26,0.64463,0.55482,-0.09351,0.05482,-5.358,0.20903
27,0.66299,0.55358,-0.06755,0.05358,-3.870,0.18400
28,0.68024,0.55219,-0.08036,0.05219,-4.604,0.17307
29,0.69795,0.55099,-0.06768,0.05099,-3.878,0.17747
30,0.71650,0.54949,-0.08049,0.04949,-4.612,0.18615
