t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16456,0.51423,0.77390,0.01423,44.341,0.20358
2,0.17766,0.52705,0.77464,0.02705,44.384,0.18326
3,0.19622,0.54117,0.65040,0.04117,37.265,0.23324
4,0.22050,0.55470,0.50823,0.05470,29.120,0.27799
5,0.24867,0.56471,0.34171,0.06471,19.578,0.29889
6,0.27600,0.57144,0.24119,0.07144,13.819,0.28150
7,0.30020,0.57571,0.17490,0.07571,10.021,0.24575
8,0.32545,0.57788,0.08577,0.07788,4.914,0.25337
9,0.34455,0.57862,0.03863,0.07862,2.213,0.19118
10,0.36988,0.57849,-0.00519,0.07849,-0.297,0.25336
11,0.39009,0.57860,0.00539,0.07860,0.309,0.20207
12,0.41209,0.57748,-0.05087,0.07748,-2.914,0.22029
13,0.43531,0.57568,-0.07760,0.07568,-4.446,0.23285
14,0.45745,0.57314,-0.11387,0.07314,-6.524,0.22282
15,0.47800,0.57075,-0.11612,0.07075,-6.653,0.20691
16,0.50112,0.56868,-0.08897,0.06868,-5.098,0.23216
17,0.52214,0.56641,-0.10797,0.06641,-6.186,0.21141
18,0.54192,0.56438,-0.10185,0.06438,-5.835,0.19882
19,0.56716,0.56092,-0.13633,0.06092,-7.811,0.25481
20,0.58963,0.55871,-0.09813,0.05871,-5.622,0.22578
21,0.61384,0.55631,-0.09890,0.05631,-5.667,0.24329
22,0.63413,0.55470,-0.07885,0.05470,-4.518,0.20349
23,0.65641,0.55249,-0.09895,0.05249,-5.669,0.22390
24,0.68018,0.55031,-0.09164,0.05031,-5.251,0.23871
25,0.70208,0.54777,-0.11517,0.04777,-6.599,0.22044
26,0.72509,0.54537,-0.10405,0.04537,-5.962,0.23136
27,0.74621,0.54361,-0.08337,0.04361,-4.777,0.21199
28,0.76757,0.54125,-0.11008,0.04125,-6.307,0.21485
29,0.78886,0.53937,-0.08793,0.03937,-5.038,0.21379
30,0.81030,0.53694,-0.11281,0.03694,-6.464,0.21577
