t,x,y,theta_rad,lateral_err,heading_deg,v
0,0.15000,0.50000,0.78540,0.00000,45.000,0.20000
1,0.16129,0.51114,0.77881,0.01114,44.623,0.15860
2,0.16967,0.51915,0.76258,0.01915,43.693,0.11593
3,0.18245,0.53076,0.73783,0.03076,42.275,0.17268
4,0.20161,0.54471,0.62937,0.04471,36.061,0.23699
5,0.22546,0.55715,0.48054,0.05715,27.533,0.26897
6,0.24657,0.56546,0.37506,0.06546,21.489,0.22688
7,0.26749,0.57128,0.27129,0.07128,15.544,0.21714
8,0.28799,0.57503,0.18121,0.07503,10.383,0.20841
9,0.30822,0.57722,0.10766,0.07722,6.169,0.20352
10,0.32357,0.57858,0.08807,0.07858,5.046,0.15413
11,0.33555,0.57929,0.05917,0.07929,3.390,0.11999
12,0.34922,0.57979,0.03705,0.07979,2.123,0.13681
13,0.36448,0.58006,0.01750,0.08006,1.003,0.15262
14,0.37546,0.58005,-0.00068,0.08005,-0.039,0.10980
15,0.38969,0.58003,-0.00178,0.08003,-0.102,0.14226
16,0.40825,0.57940,-0.03363,0.07940,-1.927,0.18572
17,0.42246,0.57867,-0.05154,0.07867,-2.953,0.14222
18,0.43548,0.57796,-0.05467,0.07796,-3.132,0.13048
19,0.45186,0.57676,-0.07325,0.07676,-4.197,0.16422
20,0.46746,0.57582,-0.06004,0.07582,-3.440,0.15624
21,0.48370,0.57455,-0.07803,0.07455,-4.471,0.16291
22,0.49726,0.57350,-0.07704,0.07350,-4.414,0.13604
23,0.51316,0.57207,-0.08946,0.07207,-5.126,0.15964
24,0.52640,0.57089,-0.08931,0.07089,-5.117,0.13293
25,0.54160,0.56928,-0.10533,0.06928,-6.035,0.15278
26,0.55824,0.56757,-0.10233,0.06757,-5.863,0.16730
27,0.57334,0.56623,-0.08858,0.06623,-5.075,0.15159
28,0.58700,0.56490,-0.09728,0.06490,-5.574,0.13722
29,0.60052,0.56375,-0.08515,0.06375,-4.879,0.13576
30,0.61480,0.56258,-0.08141,0.06258,-4.665,0.14324
