step,epoch,total,recon,dyn,pred_recon,var,anchor,anchor_pred,a_v,a_omega,state_std,std0,std1,std2,std3
50,1,1.955231785774231,0.6659820079803467,0.004012441262602806,0.6768627166748047,0.0,0.30416253209114075,0.3042120933532715,1.0,1.0,0.4793129824101925,0.27203449606895447,0.22925032675266266,0.7021499872207642,0.7138171195983887
100,1,1.4285780191421509,0.38978877663612366,0.0030973171815276146,0.3871205449104309,0.0,0.32439303398132324,0.3241783380508423,1.0,1.0,0.4674816429615021,0.22603349387645721,0.23316355049610138,0.6911930441856384,0.7195364832878113
150,1,1.32938551902771,0.34853801131248474,0.005093439482152462,0.33646494150161743,0.0,0.3198871612548828,0.3194020390510559,1.0,1.0,0.46688466891646385,0.23114414513111115,0.22236767411231995,0.7255014181137085,0.6885254383087158
200,1,1.2446097135543823,0.3255987763404846,0.002353798132389784,0.3105444312095642,0.0,0.30323222279548645,0.30288052558898926,1.0,1.0,0.46378524228930473,0.21804800629615784,0.22183401882648468,0.69577956199646,0.7194793820381165
250,1,1.150611162185669,0.3015458583831787,0.0027229362167418003,0.2866182327270508,0.0,0.2800010144710541,0.27972307801246643,1.0,1.0,0.465153232216835,0.22287437319755554,0.23023834824562073,0.6956818699836731,0.7118183374404907
300,1,1.157210350036621,0.29299330711364746,0.004276441875845194,0.2780558466911316,0.0,0.2910193204879761,0.29086536169052124,1.0,1.0,0.47388000041246414,0.2454635053873062,0.2341301590204239,0.7092803716659546,0.7066459655761719
350,1,1.159471869468689,0.285372257232666,0.0032434258610010147,0.2694488763809204,0.0,0.3007034361362457,0.30070391297340393,1.0,1.0,0.4727516807615757,0.2502204179763794,0.22571052610874176,0.7279409766197205,0.6871348023414612
400,2,1.0789695978164673,0.26793572306632996,0.0033996766433119774,0.25820860266685486,0.0,0.27463698387145996,0.27478858828544617,1.0,1.0,0.47156842425465584,0.24132323265075684,0.2357351928949356,0.6945459246635437,0.7146693468093872
450,2,0.9305137991905212,0.2580266296863556,0.007542391773313284,0.2500341832637787,0.0,0.2073041796684265,0.2076064497232437,1.0,1.0,0.48059244453907013,0.2590143382549286,0.25263574719429016,0.7045565247535706,0.7061631679534912
500,2,0.8031046986579895,0.2896915078163147,0.019484544172883034,0.28124722838401794,0.0,0.10625176876783371,0.10642962157726288,1.0,1.0,0.49349191039800644,0.275324285030365,0.2881564795970917,0.7027665376663208,0.7077203392982483
550,2,0.5885734558105469,0.25321030616760254,0.007348491344600916,0.25355371832847595,0.0,0.03720845282077789,0.03725253790616989,1.0,1.0,0.49314533919095993,0.29370057582855225,0.27326664328575134,0.6771053671836853,0.7285087704658508
600,2,0.47248536348342896,0.22107373178005219,0.004755537956953049,0.22404028475284576,0.0,0.01129700057208538,0.011318789795041084,1.0,1.0,0.4982219263911247,0.28004300594329834,0.29949310421943665,0.7031641602516174,0.7101874351501465
650,2,0.42528414726257324,0.20087924599647522,0.003023125696927309,0.2063930630683899,0.0,0.007492673583328724,0.007496071048080921,1.0,1.0,0.49424128234386444,0.27855297923088074,0.2832542359828949,0.6991949081420898,0.7159630060195923
700,2,0.4191688299179077,0.2010268270969391,0.0031141466461122036,0.2000167816877365,0.0,0.007491810712963343,0.007519271224737167,1.0,1.0,0.49546246230602264,0.2760854661464691,0.29117652773857117,0.6791383624076843,0.735449492931366
750,2,0.4104270040988922,0.19519899785518646,0.0025330798234790564,0.19842135906219482,0.0,0.007125503849238157,0.007148071192204952,1.0,1.0,0.4978969693183899,0.2888425588607788,0.2866109609603882,0.722086489200592,0.6940478682518005
800,3,0.392635703086853,0.18975375592708588,0.002927323104813695,0.1888672262430191,0.0,0.005537354853004217,0.005550049245357513,1.0,1.0,0.5007880702614784,0.29087314009666443,0.29598701000213623,0.6956113576889038,0.7206807732582092
850,3,0.3601561486721039,0.1733626425266266,0.0026596463285386562,0.17482036352157593,0.0,0.004653667565435171,0.0046598236076533794,1.0,1.0,0.4886854290962219,0.2818753719329834,0.2591840624809265,0.72267085313797,0.6910114288330078
900,3,0.3860855996608734,0.18861255049705505,0.0018328798469156027,0.1870429813861847,0.0,0.004290953278541565,0.004306231625378132,1.0,1.0,0.48822585493326187,0.26351991295814514,0.27856212854385376,0.7276962399482727,0.6831251382827759
950,3,0.35897955298423767,0.17369651794433594,0.0020510307513177395,0.1752602458000183,0.0,0.003980068024247885,0.003991707228124142,1.0,1.0,0.48741989582777023,0.2694723606109619,0.26560959219932556,0.6894104480743408,0.7251871824264526
1000,3,0.3472438156604767,0.16842642426490784,0.0016146033303812146,0.1708856225013733,0.0,0.0031535662710666656,0.0031635949853807688,1.0,1.0,0.4888227805495262,0.25783100724220276,0.283022940158844,0.6886447072029114,0.7257924675941467
1050,3,0.3539580702781677,0.17124758660793304,0.001681027701124549,0.1746044158935547,0.0,0.0032090675085783005,0.0032159555703401566,1.0,1.0,0.48353948444128036,0.262900710105896,0.2587997019290924,0.7045081853866577,0.7079493403434753
1100,3,0.3406462073326111,0.16392645239830017,0.0018620684277266264,0.1684618592262268,0.0,0.003193773329257965,0.003202056512236595,1.0,1.0,0.48624417185783386,0.2707872986793518,0.26205259561538696,0.6945608258247375,0.7175759673118591
1150,3,0.343126505613327,0.1671515852212906,0.0017400782089680433,0.16849543154239655,0.0,0.0028681415133178234,0.0028712633065879345,1.0,1.0,0.4819456860423088,0.25625479221343994,0.2580949366092682,0.7334399819374084,0.6799930334091187
