pose,d0,d1,d2,d3
x,0.9991,-0.0260,0.3274,-0.0540
y,-0.0254,0.9990,0.0101,0.2793
cos_th,0.3262,0.0106,0.9980,0.0134
sin_th,-0.0635,0.2832,0.0057,0.9978
