pose,d0,d1,d2,d3
x,-0.0360,0.0663,-0.2031,-0.4767
y,-0.0066,-0.0165,0.1286,0.0692
cos_th,0.0666,0.0363,0.0067,-0.6125
sin_th,0.2688,-0.1221,-0.3535,-0.1786
