step,epoch,pred,sigreg,anchor,anchor_pred,total,latent_std
50,1,0.06051197648048401,7.157266616821289,0.08024200797080994,0.07163572311401367,0.24817603826522827,0.9360907673835754
100,1,0.03519852086901665,4.5354461669921875,0.042383208870887756,0.04359578341245651,0.14385473728179932,0.9756867289543152
150,1,0.03349859267473221,4.997066974639893,0.038570716977119446,0.03671417012810707,0.13376881182193756,0.9780690670013428
200,1,0.034399423748254776,4.634879112243652,0.04981129243969917,0.04418446123600006,0.15156957507133484,0.9748488664627075
250,1,0.0503586046397686,5.2395100593566895,0.049100227653980255,0.044452108442783356,0.17010849714279175,0.9728621244430542
300,1,0.03182343766093254,4.094488143920898,0.03610524535179138,0.036013614386320114,0.12441474199295044,0.9762922525405884
350,1,0.04623766988515854,4.641472816467285,0.027271540835499763,0.024428483098745346,0.12114505469799042,0.9728567600250244
400,1,0.03304388374090195,4.231691360473633,0.02510320395231247,0.017301181331276894,0.09660672396421432,0.9783670902252197
450,1,0.03474363684654236,3.9664435386657715,0.027422204613685608,0.0219093207269907,0.10390737652778625,0.9821589589118958
500,1,0.03238222748041153,4.388031959533691,0.03486734256148338,0.030039049685001373,0.1192287728190422,0.9824521541595459
550,1,0.025190915912389755,3.761568307876587,0.03569524735212326,0.028534546494483948,0.10822854936122894,0.9820516109466553
600,1,0.0553397610783577,3.5105860233306885,0.033966194838285446,0.029627587646245956,0.1364864706993103,0.9782788753509521
650,1,0.05758773162961006,3.678830146789551,0.02563515491783619,0.019510410726070404,0.12112744897603989,0.9808779358863831
700,1,0.04935070872306824,4.2110795974731445,0.025386996567249298,0.01693633571267128,0.11272944509983063,0.980872392654419
750,1,0.03122309222817421,3.8155264854431152,0.019764600321650505,0.017303846776485443,0.0873691737651825,0.9799219369888306
800,1,0.049881428480148315,3.4673750400543213,0.020603995770215988,0.017585230991244316,0.10540752857923508,0.9816606044769287
850,1,0.02239975892007351,4.107781410217285,0.025508258491754532,0.022250544279813766,0.09069746732711792,0.9805804491043091
900,1,0.04361046478152275,3.5411791801452637,0.022098664194345474,0.016347611322999,0.09976263344287872,0.9794743657112122
950,1,0.05822107195854187,4.125429153442383,0.0237581729888916,0.020231973379850388,0.12283836305141449,0.9779172539710999
1000,1,0.031151963397860527,4.021580696105957,0.03609985113143921,0.029885537922382355,0.11724525690078735,0.9760301113128662
1050,1,0.04840610921382904,3.711184024810791,0.02477872185409069,0.017248783260583878,0.10898953676223755,0.9791349172592163
1100,1,0.04875721037387848,4.038242340087891,0.02158069796860218,0.01800028420984745,0.10852940380573273,0.9816185235977173
1150,1,0.024977143853902817,3.9890949726104736,0.024652373045682907,0.018329739570617676,0.08790473639965057,0.9786313772201538
1200,1,0.03258982673287392,3.377681255340576,0.02568485215306282,0.01851641573011875,0.0936795026063919,0.9782702326774597
1250,2,0.024874810129404068,3.3445801734924316,0.02828632853925228,0.018465276807546616,0.08834931254386902,0.9778764247894287
1300,2,0.0356375128030777,3.245849132537842,0.019376467913389206,0.01291298121213913,0.08415620774030685,0.977897584438324
1350,2,0.03458954393863678,3.0932343006134033,0.019396834075450897,0.01432913076132536,0.08378168195486069,0.979883074760437
1400,2,0.04786486178636551,3.8055384159088135,0.027883214876055717,0.01821710355579853,0.11299286782741547,0.979291558265686
1450,2,0.024708542972803116,3.270984172821045,0.01887432485818863,0.013783023692667484,0.07372081279754639,0.9831236600875854
1500,2,0.03168104961514473,3.327749252319336,0.03433985635638237,0.0178084596991539,0.10046811401844025,0.9810019731521606
1550,2,0.028107082471251488,3.181391716003418,0.0181904137134552,0.011785957962274551,0.07399041205644608,0.9847853183746338
1600,2,0.04636668413877487,3.1329541206359863,0.01641792058944702,0.011198922991752625,0.0896482989192009,0.9822791814804077
1650,2,0.03672906756401062,3.5730042457580566,0.028033897280693054,0.02089337259531021,0.10352136194705963,0.9800220131874084
1700,2,0.04206457361578941,3.2653746604919434,0.017954885959625244,0.011303221806883812,0.08764955401420593,0.9825698137283325
1750,2,0.03681093454360962,2.982933282852173,0.023844368755817413,0.015015734359622002,0.09058570861816406,0.9873117804527283
1800,2,0.04614858329296112,2.929792881011963,0.020249303430318832,0.01368523295968771,0.09473208338022232,0.9873820543289185
1850,2,0.029767479747533798,3.2550463676452637,0.030558999627828598,0.022604238241910934,0.09920594841241837,0.9848011136054993
