probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3169,0.2224,0.2258,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0157,0.0110,0.0111,2.5485,2.0922,0.0000,0.9975,0.9976
mlp,0.0105,0.0070,0.0079,1.8223,1.5031,0.0000,0.9990,0.9988
