pose,d0,d1,d2,d3
x,-0.0743,-0.0969,0.8880,0.0099
y,-0.3344,0.0614,0.1293,0.0512
cos_th,0.3766,-0.0490,0.4258,0.0355
sin_th,-0.7774,-0.0452,0.0250,0.1436
