probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.2990,0.2141,0.2087,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.2990,0.2141,0.2087,90.8962,89.7927,49.8450,-0.0064,-0.0004
mlp,0.2991,0.2140,0.2090,90.5855,91.9954,51.3178,-0.0055,-0.0032
