t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,0.26180,0.00000,15.000
1,0.18892,0.50925,0.23333,0.00925,13.369
2,0.22829,0.51632,0.17780,0.01632,10.187
3,0.26796,0.52140,0.12738,0.02140,7.298
4,0.30783,0.52458,0.07956,0.02458,4.559
5,0.34779,0.52639,0.04528,0.02639,2.594
6,0.38779,0.52683,0.01092,0.02683,0.626
7,0.42779,0.52674,-0.00235,0.02674,-0.135
8,0.46779,0.52606,-0.01692,0.02606,-0.969
9,0.50778,0.52543,-0.01565,0.02543,-0.896
10,0.54776,0.52421,-0.03066,0.02421,-1.757
11,0.58773,0.52270,-0.03772,0.02270,-2.161
12,0.62770,0.52110,-0.04003,0.02110,-2.294
13,0.66768,0.51965,-0.03624,0.01965,-2.076
14,0.70764,0.51795,-0.04257,0.01795,-2.439
15,0.74762,0.51668,-0.03172,0.01668,-1.817
16,0.78757,0.51480,-0.04692,0.01480,-2.688
17,0.82753,0.51282,-0.04970,0.01282,-2.848
18,0.86749,0.51106,-0.04383,0.01106,-2.511
