t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,1.04720,0.00000,60.000
1,0.17270,0.53294,0.96733,0.03294,55.424
2,0.20149,0.56071,0.76739,0.06071,43.968
3,0.23435,0.58351,0.60656,0.08351,34.753
4,0.27130,0.59884,0.39327,0.09884,22.532
5,0.31045,0.60705,0.20680,0.10705,11.849
6,0.35035,0.60981,0.06909,0.10981,3.959
7,0.39024,0.60681,-0.07516,0.10681,-4.307
8,0.42998,0.60229,-0.11322,0.10229,-6.487
9,0.46973,0.59778,-0.11295,0.09778,-6.472
10,0.50924,0.59154,-0.15669,0.09154,-8.978
11,0.54823,0.58260,-0.22528,0.08260,-12.908
12,0.58764,0.57579,-0.17115,0.07579,-9.806
13,0.62728,0.57042,-0.13470,0.07042,-7.718
14,0.66674,0.56389,-0.16390,0.06389,-9.391
15,0.70643,0.55887,-0.12579,0.05887,-7.207
16,0.74618,0.55443,-0.11119,0.05443,-6.371
17,0.78596,0.55022,-0.10555,0.05022,-6.048
18,0.82580,0.54667,-0.08881,0.04667,-5.089
