t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.50000,1.04720,0.00000,60.000
1,0.17278,0.53288,0.96483,0.03288,55.281
2,0.20174,0.56047,0.76124,0.06047,43.616
3,0.23464,0.58323,0.60521,0.08323,34.676
4,0.27162,0.59848,0.39109,0.09848,22.408
5,0.31073,0.60686,0.21108,0.10686,12.094
6,0.35057,0.61039,0.08832,0.11039,5.060
7,0.39050,0.60795,-0.06092,0.10795,-3.490
8,0.43029,0.60387,-0.10217,0.10387,-5.854
9,0.47010,0.60002,-0.09649,0.10002,-5.529
10,0.50967,0.59415,-0.14711,0.09415,-8.429
11,0.54874,0.58558,-0.21599,0.08558,-12.375
12,0.58820,0.57901,-0.16495,0.07901,-9.451
13,0.62788,0.57398,-0.12615,0.07398,-7.228
14,0.66738,0.56767,-0.15852,0.06767,-9.083
15,0.70702,0.56235,-0.13337,0.06235,-7.641
16,0.74672,0.55745,-0.12262,0.05745,-7.025
17,0.78646,0.55287,-0.11487,0.05287,-6.582
18,0.82627,0.54892,-0.09880,0.04892,-5.661
