pose,d0,d1,d2,d3
x,0.0865,-0.0854,-0.0681,-0.0299
y,-0.0880,0.0585,0.1919,0.2129
cos_th,0.0646,-0.0519,-0.0276,-0.6101
sin_th,0.1566,-0.0852,-0.4999,0.0215
