probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0182,0.0136,0.0121,3.4964,2.9278,0.0000,0.9964,0.9970
mlp,0.0148,0.0106,0.0103,3.1495,2.6279,0.0000,0.9978,0.9978
