probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0362,0.0269,0.0242,63.6500,49.4252,28.5950,0.9858,0.9880
mlp,0.0301,0.0218,0.0207,57.3754,24.1923,28.3291,0.9907,0.9912
