probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0400,0.0286,0.0280,63.7143,50.4859,28.2465,0.9839,0.9840
mlp,0.0256,0.0174,0.0188,61.7401,36.8501,28.8243,0.9941,0.9928
