probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0368,0.0256,0.0264,60.7017,48.3946,25.8804,0.9871,0.9857
mlp,0.0296,0.0217,0.0202,46.8032,23.5454,19.5066,0.9908,0.9917
