step,epoch,pred,pred_block,pred_free,sigreg,anchor,anchor_pred,total,latent_std
50,1,0.02484356239438057,0.001838545547798276,0.023005016148090363,4.8126726150512695,1.1303843259811401,1.3516901731491089,2.5309815406799316,0.9563980102539062
100,1,0.027236292138695717,0.0014048820594325662,0.02583141066133976,3.908792734146118,1.1605366468429565,0.985295295715332,2.192612409591675,0.9570773839950562
150,1,0.030033674091100693,0.004667647182941437,0.025366026908159256,3.7348103523254395,1.1119894981384277,0.8958905339241028,2.0565876960754395,0.9706981182098389
200,1,0.06525792926549911,0.007755664177238941,0.05750226229429245,4.022931098937988,0.9110504388809204,0.9956838488578796,1.9921067953109741,0.9816382527351379
250,1,0.09940439462661743,0.029124666005373,0.07027973234653473,3.7408623695373535,0.629366397857666,0.8267467617988586,1.5742218494415283,0.9911403656005859
300,1,0.07481051981449127,0.01393305417150259,0.06087746471166611,3.4132513999938965,0.23746255040168762,0.2165847271680832,0.5459240674972534,0.9981226921081543
350,1,0.04963146895170212,0.006435854826122522,0.043195612728595734,2.9110941886901855,0.2948318123817444,0.1427195817232132,0.5017383098602295,0.9854353070259094
400,1,0.05501262843608856,0.005878496449440718,0.04913413152098656,2.7070980072021484,0.164753258228302,0.21527186036109924,0.4485732316970825,0.9731165766716003
450,1,0.0571843758225441,0.004185591824352741,0.05299878492951393,2.658324718475342,0.15628139674663544,0.20329999923706055,0.4300574064254761,0.9752418398857117
500,1,0.05441029369831085,0.003530482528731227,0.05087981000542641,2.373222827911377,0.22595758736133575,0.11320745944976807,0.40544143319129944,0.9747515916824341
550,2,0.05558998882770538,0.004101028200238943,0.0514889620244503,2.581080436706543,0.2472068816423416,0.0935768410563469,0.40927910804748535,0.980410099029541
600,2,0.04786529019474983,0.0030599364545196295,0.04480535537004471,2.4526071548461914,0.09992945194244385,0.15119561553001404,0.3112533986568451,0.985066831111908
650,2,0.04573245346546173,0.0030363816767930984,0.04269606992602348,2.371673107147217,0.12381847947835922,0.21156828105449677,0.3929775655269623,0.9849045872688293
700,2,0.0475509911775589,0.0026528513990342617,0.0448981411755085,2.4032514095306396,0.10577898472547531,0.10816967487335205,0.273515909910202,0.9865095615386963
750,2,0.04746419936418533,0.002937064040452242,0.04452713578939438,2.2925636768341064,0.12624116241931915,0.0810011699795723,0.26616936922073364,0.9875072240829468
800,2,0.04229750856757164,0.0022225603461265564,0.040074948221445084,2.5417726039886475,0.18181215226650238,0.07244306802749634,0.30926162004470825,0.984935462474823
850,2,0.04565202817320824,0.0022778750862926245,0.04337415471673012,2.1290335655212402,0.10662459582090378,0.2143775075674057,0.37729930877685547,0.9868842363357544
900,2,0.0429556667804718,0.0023960049729794264,0.04055966064333916,2.254086971282959,0.10506272315979004,0.11734900623559952,0.27663782238960266,0.9856987595558167
950,2,0.04313545674085617,0.0019685961306095123,0.04116686061024666,2.2103357315063477,0.09103436022996902,0.10584642738103867,0.2510679364204407,0.9841105937957764
1000,2,0.04323015734553337,0.0020313046406954527,0.04119885340332985,2.328371047973633,0.18685947358608246,0.07666711509227753,0.3183985948562622,0.9850143790245056
1050,3,0.039649564772844315,0.0019435537979006767,0.03770601004362106,2.2905960083007812,0.11611755192279816,0.10255187749862671,0.2697719633579254,0.9852616786956787
1100,3,0.04141949117183685,0.0019309247145429254,0.03948856517672539,2.171579599380493,0.09203898906707764,0.11029329150915146,0.2546096742153168,0.9822515249252319
1150,3,0.03783949092030525,0.0017310593975707889,0.03610843047499657,2.2162322998046875,0.11086217314004898,0.1098390594124794,0.269621878862381,0.9827731847763062
1200,3,0.04227983579039574,0.0019600738305598497,0.040319763123989105,2.166152000427246,0.09103284031152725,0.13031722605228424,0.27446067333221436,0.9867958426475525
1250,3,0.036942414939403534,0.0016620003152638674,0.035280413925647736,2.200822353363037,0.176936075091362,0.06882967799901962,0.2937122583389282,0.9825466871261597
1300,3,0.03969809040427208,0.001521128579042852,0.03817696124315262,2.1003215312957764,0.07820935547351837,0.1320352852344513,0.2604443430900574,0.986319899559021
1350,3,0.038806065917015076,0.0017107982421293855,0.037095267325639725,2.0937721729278564,0.10894367843866348,0.06397929042577744,0.22219789028167725,0.982122004032135
1400,3,0.03879978507757187,0.0014438745565712452,0.03735591098666191,2.3559088706970215,0.09205279499292374,0.10519888252019882,0.24783100187778473,0.9844496250152588
1450,3,0.04106002300977707,0.0016215130453929305,0.039438508450984955,2.0668060779571533,0.11959689110517502,0.06616029888391495,0.23715123534202576,0.9813271760940552
1500,3,0.039910510182380676,0.001713266596198082,0.038197241723537445,2.2447917461395264,0.11360733956098557,0.06584062427282333,0.23058243095874786,0.9789418578147888
1550,4,0.03562861308455467,0.0013774493709206581,0.03425116464495659,2.0472028255462646,0.07167436927556992,0.08867752552032471,0.20621652901172638,0.9814825057983398
1600,4,0.03486896678805351,0.0013296989491209388,0.033539269119501114,2.3446178436279297,0.16874055564403534,0.05501176044344902,0.2703443765640259,0.982338547706604
1650,4,0.03666708618402481,0.001466214656829834,0.03520087152719498,2.1782703399658203,0.11787565797567368,0.06179807707667351,0.2272321730852127,0.9848289489746094
1700,4,0.03674349933862686,0.0012182784266769886,0.03552522137761116,2.2102928161621094,0.08660506457090378,0.11599835008382797,0.2503983676433563,0.9817328453063965
1750,4,0.03637942671775818,0.0012000276474282146,0.03517939895391464,2.054478168487549,0.15155839920043945,0.054001446813344955,0.25221166014671326,0.9832480549812317
1800,4,0.03622673079371452,0.0011766350362449884,0.03505009412765503,2.185798168182373,0.09566755592823029,0.09527941048145294,0.23810268938541412,0.9815881252288818
1850,4,0.03764021024107933,0.001280267839320004,0.03635994344949722,2.2795627117156982,0.10269384831190109,0.09515739977359772,0.24688926339149475,0.9797396659851074
1900,4,0.03835529461503029,0.0011690309038385749,0.037186264991760254,2.1526200771331787,0.0721082091331482,0.10366890579462051,0.22489550709724426,0.9817326068878174
1950,4,0.03732622414827347,0.0013610319001600146,0.035965193063020706,2.0348753929138184,0.14156432449817657,0.05483662709593773,0.2439015507698059,0.9797791838645935
2000,4,0.03471444547176361,0.0010605112183839083,0.03365393355488777,2.2588424682617188,0.10218758881092072,0.0659404769539833,0.2141367346048355,0.9802144765853882
2050,5,0.03668787702918053,0.0012281500967219472,0.0354597270488739,2.079721450805664,0.10835927724838257,0.06110328435897827,0.21654903888702393,0.9803163409233093
2100,5,0.035668473690748215,0.0012268669670447707,0.03444160521030426,2.0931341648101807,0.10887356102466583,0.0570015013217926,0.21200920641422272,0.9792926907539368
2150,5,0.03683659806847572,0.0010825295466929674,0.035754069685935974,2.153440475463867,0.09268210083246231,0.1947641223669052,0.3350500464439392,0.9807754158973694
2200,5,0.03242482617497444,0.0011623258469626307,0.03126250207424164,2.107175588607788,0.13593819737434387,0.07110011577606201,0.2499990165233612,0.9803940057754517
2250,5,0.033519670367240906,0.000834462174680084,0.032685209065675735,2.054993152618408,0.06739722937345505,0.10037355870008469,0.21156542003154755,0.9805456399917603
2300,5,0.03399915248155594,0.0011252796975895762,0.03287387266755104,2.0508294105529785,0.09603440016508102,0.05848449096083641,0.19877219200134277,0.9813179969787598
2350,5,0.03230045363306999,0.0011436388595029712,0.031156813725829124,2.0587692260742188,0.1108192577958107,0.05341425538063049,0.2068278044462204,0.979121744632721
2400,5,0.03252798691391945,0.0010401949984952807,0.03148779273033142,2.0535359382629395,0.1166268140077591,0.06340737640857697,0.22282984852790833,0.9799413681030273
2450,5,0.03229411691427231,0.0011164298048242927,0.031177688390016556,2.128572940826416,0.06548299640417099,0.09913185983896255,0.20755183696746826,0.978911280632019
2500,5,0.03270939365029335,0.000932182592805475,0.03177721053361893,1.9566844701766968,0.06168335676193237,0.10715657472610474,0.21133273839950562,0.9819541573524475
2550,6,0.03338320925831795,0.0010198483942076564,0.03236336261034012,1.9891400337219238,0.12441587448120117,0.05153777822852135,0.21928256750106812,0.979301393032074
2600,6,0.030729666352272034,0.0008951554191298783,0.029834510758519173,1.966978669166565,0.08430797606706619,0.06796390563249588,0.1928364336490631,0.978147029876709
2650,6,0.029443515464663506,0.0009559549507685006,0.028487561270594597,2.0651183128356934,0.06883086264133453,0.107101671397686,0.2157016396522522,0.9790467023849487
2700,6,0.03016844391822815,0.0010314108803868294,0.029137032106518745,2.0762248039245605,0.08676507323980331,0.07266917079687119,0.19998380541801453,0.9792249202728271
2750,6,0.028752706944942474,0.0009189709089696407,0.027833735570311546,2.1752524375915527,0.07482914626598358,0.08427095413208008,0.19872906804084778,0.9788148403167725
2800,6,0.03147998824715614,0.0009796335361897945,0.03050035610795021,1.9609270095825195,0.09217151254415512,0.06096388027071953,0.1944200098514557,0.9791309833526611
2850,6,0.0294241514056921,0.0009474752587266266,0.02847667597234249,1.9548707008361816,0.0957268476486206,0.06832348555326462,0.20324884355068207,0.9788604974746704
2900,6,0.03282861039042473,0.0010062388610094786,0.03182237222790718,2.082036018371582,0.05904170870780945,0.11306247860193253,0.21534296870231628,0.9778921008110046
2950,6,0.03159945458173752,0.0008547358447685838,0.03074471838772297,1.851010799407959,0.08193977922201157,0.06642338633537292,0.1892176866531372,0.9794615507125854
3000,6,0.02993149124085903,0.0008223975310102105,0.02910909429192543,2.056851387023926,0.08457762002944946,0.049349360167980194,0.1741427332162857,0.9774870276451111
3050,7,0.03159483149647713,0.0008984252926893532,0.030696406960487366,1.8585095405578613,0.06963113695383072,0.09080598503351212,0.2013244926929474,0.9788863062858582
3100,7,0.03102397732436657,0.000830338045489043,0.030193639919161797,1.916852355003357,0.08079516142606735,0.06846293061971664,0.1898663341999054,0.9794894456863403
3150,7,0.03201277181506157,0.0010481125209480524,0.03096465952694416,2.0680925846099854,0.06295156478881836,0.129739448428154,0.23504424095153809,0.9764525890350342
3200,7,0.029075708240270615,0.000953919196035713,0.028121789917349815,2.0257930755615234,0.06982024759054184,0.0949355810880661,0.20396049320697784,0.9809961318969727
3250,7,0.030253728851675987,0.000988663057796657,0.029265066608786583,1.9338524341583252,0.0742686465382576,0.0746508464217186,0.18884247541427612,0.9784214496612549
3300,7,0.028557850047945976,0.0008961239946074784,0.027661725878715515,1.963860034942627,0.07008367776870728,0.07667919248342514,0.18514002859592438,0.978443443775177
3350,7,0.02902652695775032,0.0008606290793977678,0.028165897354483604,1.840896725654602,0.13189898431301117,0.04441465064883232,0.2145446538925171,0.9800323247909546
3400,7,0.03137146309018135,0.000935628660954535,0.030435835942626,1.9028688669204712,0.09946050494909286,0.05795887112617493,0.1983051896095276,0.9800518751144409
3450,7,0.030528638511896133,0.0008510036277584732,0.029677635058760643,1.8892666101455688,0.19821317493915558,0.054370928555727005,0.29255908727645874,0.9785696268081665
3500,7,0.02925099991261959,0.0009150501573458314,0.028335949406027794,1.8406016826629639,0.0895136147737503,0.05648254230618477,0.184450164437294,0.9787043929100037
3550,8,0.030929042026400566,0.0009582255152054131,0.029970817267894745,1.9132941961288452,0.09754478186368942,0.05409017205238342,0.19213047623634338,0.9792704582214355
3600,8,0.031518805772066116,0.0007259580888785422,0.030792849138379097,1.9162046909332275,0.07824981957674026,0.0640217587351799,0.1833714097738266,0.9776068329811096
