probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0729,0.0496,0.0534,64.6667,51.9732,28.5583,0.9518,0.9419
mlp,0.0401,0.0271,0.0296,55.0092,22.2256,26.7608,0.9857,0.9821
