step,epoch,recon,dyn,pred_recon,var,l1,anchor,anchor_pred,total,latent_std
50,1,0.6489102840423584,0.0037061055190861225,0.649808406829834,0.017266476526856422,0.01126090344041586,1.0357470512390137,1.015595555305481,3.3710451126098633,0.19305038452148438
100,1,0.4110816717147827,0.008815092034637928,0.4070545732975006,0.017283441498875618,0.013523220084607601,0.9035772681236267,0.8883573412895203,2.6361827850341797,0.3202642500400543
150,1,0.47688788175582886,0.015562835149466991,0.46094346046447754,0.009656711481511593,0.011546841822564602,0.6142066717147827,0.6076835989952087,2.184952735900879,0.37257224321365356
200,1,0.39120420813560486,0.007905186153948307,0.3905731439590454,0.0091853691264987,0.010557973757386208,0.17364060878753662,0.1766696274280548,1.1491886377334595,0.3796888589859009
250,1,0.3491736352443695,0.0048057581298053265,0.35112035274505615,0.009179147891700268,0.010702643543481827,0.07163795828819275,0.06718229502439499,0.8531098365783691,0.3817506730556488
300,1,0.30919837951660156,0.003638186026364565,0.309187114238739,0.00953949149698019,0.01506255753338337,0.05535399913787842,0.051655448973178864,0.7385877370834351,0.3849540054798126
350,1,0.29663121700286865,0.00251585035584867,0.2961020767688751,0.008657625876367092,0.01928940787911415,0.05067378282546997,0.04771452769637108,0.7023144364356995,0.3815177381038666
400,1,0.2807368338108063,0.002555322367697954,0.2787379324436188,0.008413922972977161,0.024060223251581192,0.047940585762262344,0.04333311319351196,0.6617417335510254,0.3825368583202362
450,1,0.25240039825439453,0.0021616590674966574,0.25546520948410034,0.008653554134070873,0.02703198418021202,0.05574372038245201,0.05080360174179077,0.6252552270889282,0.38068336248397827
500,1,0.23573806881904602,0.002331361873075366,0.2374120056629181,0.009079089388251305,0.02988036535680294,0.050539493560791016,0.04575466364622116,0.580884575843811,0.37836700677871704
550,2,0.2252664566040039,0.0019447548547759652,0.22846385836601257,0.008818641304969788,0.03194471821188927,0.04134107381105423,0.037180546671152115,0.5430472493171692,0.37949317693710327
600,2,0.21605965495109558,0.0021189795807003975,0.22037723660469055,0.00739804795011878,0.03431767225265503,0.04008955880999565,0.03358657285571098,0.5196643471717834,0.38235998153686523
650,2,0.20570088922977448,0.0018586860969662666,0.20713016390800476,0.006518803536891937,0.035018645226955414,0.030342301353812218,0.028319615870714188,0.47990545630455017,0.38317808508872986
700,2,0.1963019073009491,0.001608093618415296,0.19831961393356323,0.00806416105479002,0.03571125864982605,0.035732921212911606,0.03090847097337246,0.47097086906433105,0.38043829798698425
750,2,0.20348630845546722,0.0015428421320393682,0.2040366530418396,0.009009573608636856,0.03655249997973442,0.03323637321591377,0.029477208852767944,0.4808254837989807,0.3805304765701294
