step,epoch,pred,pred_block,pred_free,sigreg,l1,anchor,anchor_pred,total,latent_std
50,1,0.23885183036327362,0.04738233983516693,0.1914694905281067,6.831377983093262,0.00981153454631567,0.4069187641143799,0.4063117504119873,1.0862489938735962,0.9779020547866821
100,1,0.11330624669790268,0.04076527804136276,0.07254096865653992,3.6062638759613037,0.010148662142455578,0.13864269852638245,0.13801270723342896,0.4080031216144562,1.005211591720581
150,1,0.11509081721305847,0.02455729804933071,0.09053351730108261,3.2213621139526367,0.010332539677619934,0.05237007886171341,0.05160839855670929,0.23518642783164978,1.0171034336090088
200,1,0.11722345650196075,0.009088093414902687,0.10813536494970322,3.353363275527954,0.010291793383657932,0.03595647215843201,0.03513764217495918,0.20509468019008636,1.014068365097046
250,1,0.11508243530988693,0.012455357238650322,0.10262707620859146,2.794847011566162,0.010100435465574265,0.019600626081228256,0.01899067312479019,0.16765806078910828,1.0080337524414062
300,1,0.12502802908420563,0.013638978824019432,0.11138904839754105,3.133711814880371,0.010148003697395325,0.027301637455821037,0.026743751019239426,0.19475212693214417,1.0022634267807007
350,1,0.13304047286510468,0.017350565642118454,0.11568990349769592,3.250434398651123,0.010544764809310436,0.041875243186950684,0.04085875302553177,0.23203718662261963,1.0037579536437988
400,1,0.1374954879283905,0.011583552695810795,0.12591193616390228,2.9288549423217773,0.011294129304587841,0.024751223623752594,0.02344956248998642,0.20035184919834137,1.0197409391403198
450,1,0.1430925875902176,0.01122657023370266,0.13186602294445038,3.172114133834839,0.01200101524591446,0.02314140275120735,0.021861333400011063,0.2039678990840912,1.0197662115097046
500,1,0.1504403054714203,0.016100335866212845,0.13433997333049774,3.4280614852905273,0.012498918920755386,0.025691699236631393,0.023919716477394104,0.2172045260667801,1.013981819152832
550,1,0.15739929676055908,0.015907464548945427,0.1414918303489685,3.30141282081604,0.012734636664390564,0.02821585163474083,0.026703938841819763,0.22883889079093933,1.0082030296325684
600,1,0.15339989960193634,0.012168629094958305,0.14123126864433289,3.5708858966827393,0.012688225135207176,0.026775889098644257,0.02547692507505417,0.22351983189582825,1.0059058666229248
650,1,0.1428806334733963,0.010751834139227867,0.13212880492210388,3.336446762084961,0.012549562379717827,0.020085971802473068,0.018922647461295128,0.19858403503894806,1.0088517665863037
700,1,0.17675107717514038,0.010484771803021431,0.1662663072347641,3.8658199310302734,0.012578803114593029,0.016366388648748398,0.014739347621798515,0.2271984964609146,1.0041176080703735
750,1,0.1318383365869522,0.011112860403954983,0.12072547525167465,3.6728382110595703,0.012521369382739067,0.01940765231847763,0.018219245597720146,0.18784195184707642,1.0078215599060059
800,1,0.1831885427236557,0.009518691338598728,0.17366984486579895,3.9401540756225586,0.012468930333852768,0.018147332593798637,0.016695324331521988,0.23774443566799164,1.0113129615783691
850,1,0.1199946328997612,0.008008932694792747,0.1119856983423233,3.103799343109131,0.012045305222272873,0.011165032163262367,0.010310587473213673,0.1570012867450714,1.0201181173324585
900,1,0.09605424106121063,0.0055115302093327045,0.09054271131753922,3.030296802520752,0.011562557891011238,0.009603887796401978,0.008801288902759552,0.1296224594116211,1.014020323753357
950,1,0.10857990384101868,0.006905946880578995,0.10167395323514938,3.101240873336792,0.011090864427387714,0.009057490155100822,0.008222789503633976,0.14137747883796692,1.0125036239624023
1000,1,0.10483105480670929,0.007294701412320137,0.0975363552570343,2.8452682495117188,0.010942109860479832,0.009451125748455524,0.00871571060270071,0.13723517954349518,1.0128958225250244
1050,1,0.10962466895580292,0.005984663963317871,0.10364000499248505,3.0091967582702637,0.010725644417107105,0.009500454179942608,0.008878787979483604,0.1430606245994568,1.008461356163025
