probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3169,0.2224,0.2258,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0199,0.0143,0.0139,1.9520,1.5666,0.0000,0.9959,0.9962
mlp,0.0194,0.0139,0.0136,1.8529,1.4886,0.0000,0.9961,0.9964
