probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3169,0.2224,0.2258,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0203,0.0148,0.0139,1.9085,1.5261,0.0000,0.9956,0.9962
mlp,0.0141,0.0105,0.0094,1.7062,1.3701,0.0000,0.9978,0.9983
