pose,d0,d1,d2,d3
x,0.9979,0.0311,0.4441,0.0294
y,0.0411,0.9980,0.0343,0.4273
cos_th,0.4452,0.0301,0.9989,0.0018
sin_th,0.0282,0.4312,0.0002,0.9989
