step,epoch,total,recon,dyn,pred_recon,var,anchor,anchor_pred,a_v,a_omega,state_std,std0,std1,std2,std3
50,1,1.52372145652771,0.46525853872299194,0.005305498372763395,0.4853817820549011,0.0,0.28394201397895813,0.2838336229324341,1.0,1.0,0.47341472283005714,0.24978980422019958,0.23077146708965302,0.7431687712669373,0.6699288487434387
100,1,1.1790170669555664,0.2764342427253723,0.004982014186680317,0.2951640486717224,0.0,0.30129700899124146,0.3011397123336792,1.0,1.0,0.4731280095875263,0.2382545918226242,0.24080011248588562,0.6990168690681458,0.7144404649734497
150,1,1.0900641679763794,0.22856473922729492,0.0035517383366823196,0.24850113689899445,0.0,0.30495375394821167,0.3044928312301636,1.0,1.0,0.4645533673465252,0.22648485004901886,0.21662792563438416,0.733736515045166,0.6813641786575317
200,1,1.0113165378570557,0.20599737763404846,0.002583448076620698,0.2237929105758667,0.0,0.28965985774993896,0.28928297758102417,1.0,1.0,0.46209606900811195,0.21314695477485657,0.22099779546260834,0.7081902027130127,0.7060493230819702
250,1,0.9281623363494873,0.20871198177337646,0.002616001758724451,0.21211287379264832,0.0,0.25255265831947327,0.252168744802475,1.0,1.0,0.46604571118950844,0.22737373411655426,0.22680258750915527,0.703590452671051,0.7064160704612732
300,1,0.9444847106933594,0.19213533401489258,0.003425393719226122,0.20428898930549622,0.0,0.2724847197532654,0.27215030789375305,1.0,1.0,0.4816610887646675,0.26178407669067383,0.25584617257118225,0.7086907625198364,0.7003233432769775
350,1,0.9109420776367188,0.18773069977760315,0.004005290102213621,0.18797777593135834,0.0,0.2658712565898895,0.26535698771476746,1.0,1.0,0.46706700325012207,0.23884978890419006,0.2207118570804596,0.7182424068450928,0.6904639601707458
400,2,0.8439041972160339,0.1787894070148468,0.0069213793613016605,0.18049155175685883,0.0,0.23902393877506256,0.23867790400981903,1.0,1.0,0.47504039853811264,0.24562478065490723,0.24099060893058777,0.6992135643959045,0.714332640171051
450,2,0.8009478449821472,0.16949287056922913,0.004673852119594812,0.18158750236034393,0.0,0.22278326749801636,0.2224103808403015,1.0,1.0,0.475366435945034,0.24227569997310638,0.24786250293254852,0.7033962607383728,0.7079312801361084
500,2,0.779037356376648,0.16965261101722717,0.008622899651527405,0.17187747359275818,0.0,0.21456840634346008,0.2143159955739975,1.0,1.0,0.4823015257716179,0.25263139605522156,0.26002299785614014,0.7045251131057739,0.7120265960693359
550,2,0.7846104502677917,0.17395266890525818,0.010231333784759045,0.17557798326015472,0.0,0.2125641405582428,0.21228434145450592,1.0,1.0,0.47972454875707626,0.25915658473968506,0.24832895398139954,0.6992331147193909,0.7121795415878296
600,2,0.6843971014022827,0.18344193696975708,0.007039622403681278,0.18067577481269836,0.0,0.15670153498649597,0.1565382182598114,1.0,1.0,0.47908106073737144,0.24607400596141815,0.2540803551673889,0.6945735812187195,0.7215963006019592
650,2,0.6722836494445801,0.17619547247886658,0.016163276508450508,0.1779378354549408,0.0,0.1510658860206604,0.15092119574546814,1.0,1.0,0.4810921736061573,0.25945281982421875,0.24815340340137482,0.6983018517494202,0.7184606194496155
