probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3158,0.2215,0.2250,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0163,0.0121,0.0109,1.8939,1.5592,0.0000,0.9970,0.9976
mlp,0.0098,0.0066,0.0072,1.5102,1.2750,0.0000,0.9991,0.9990
