pose,d0,d1,d2,d3
x,-0.1633,-0.2149,-0.1688,0.0901
y,-0.3518,-0.1017,-0.1476,0.0235
cos_th,-0.0381,-0.1348,-0.0140,-0.6288
sin_th,-0.0365,-0.0913,-0.2977,-0.0693
