step,epoch,pred,sigreg,anchor,anchor_pred,total,rollout
50,1,0.03233766928315163,11.14400863647461,0.42863523960113525,0.43130970001220703,1.394263744354248,0.44626110792160034
100,1,0.10316440463066101,5.322656631469727,0.21461379528045654,0.05716805160045624,0.46478840708732605,0.06322887539863586
150,1,0.08491385728120804,4.697901248931885,0.16192631423473358,0.02525930479168892,0.3263479471206665,0.030758962035179138
200,1,0.06874158978462219,3.858250141143799,0.09203947335481644,0.02565760910511017,0.2409268170595169,0.03519688546657562
250,1,0.058600060641765594,3.830115795135498,0.053421273827552795,0.019692150875926018,0.17635028064250946,0.025486214086413383
300,1,0.06625564396381378,3.7891125679016113,0.05295099318027496,0.028452344238758087,0.20353777706623077,0.03693322837352753
350,1,0.06484051793813705,3.9282634258270264,0.05238008871674538,0.026396960020065308,0.19280725717544556,0.029548373073339462
400,1,0.0638420432806015,4.047183513641357,0.06176808848977089,0.04561278969049454,0.24089448153972626,0.04943562671542168
450,1,0.05834212526679039,4.6097588539123535,0.031360067427158356,0.022209471091628075,0.1613614559173584,0.026401003822684288
500,1,0.054495301097631454,4.449357986450195,0.027435343712568283,0.01960950903594494,0.15049798786640167,0.026711052283644676
550,1,0.051507242023944855,3.7680187225341797,0.0353611521422863,0.024516882374882698,0.1556035727262497,0.02537819743156433
600,1,0.051184434443712234,3.8364479541778564,0.020066354423761368,0.013588140718638897,0.12133730947971344,0.017316142097115517
650,1,0.04676131159067154,3.7203872203826904,0.022485969588160515,0.016426529735326767,0.12453673034906387,0.020260987803339958
700,1,0.07510339468717575,4.261715412139893,0.020159892737865448,0.016759326681494713,0.15716727077960968,0.02383607253432274
750,1,0.04625633358955383,4.3979387283325195,0.016686782240867615,0.014234871603548527,0.1189410537481308,0.019773367792367935
800,1,0.04582308977842331,4.044772148132324,0.020724307745695114,0.01765916496515274,0.1291939914226532,0.024763569235801697
850,1,0.044408753514289856,4.753325939178467,0.018770363181829453,0.014677831903100014,0.11985091865062714,0.018227338790893555
900,1,0.043549325317144394,4.253200531005859,0.018774669617414474,0.015577108599245548,0.11687159538269043,0.01770448498427868
950,1,0.061350636184215546,4.449306488037109,0.017217230051755905,0.013582145795226097,0.13138729333877563,0.01699075661599636
1000,1,0.04781631752848625,4.120965957641602,0.0175040103495121,0.01496603898704052,0.1191035732626915,0.018212376162409782
