pose,d0,d1,d2,d3
x,0.9981,0.0359,0.3757,0.0268
y,0.0379,0.9980,0.0321,0.3563
cos_th,0.3761,0.0326,0.9989,-0.0057
sin_th,0.0286,0.3595,-0.0005,0.9990
