probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,0.0000,0.0000
linear,0.0386,0.0272,0.0274,64.7799,52.7925,0.9855,0.9847
mlp,0.0290,0.0203,0.0207,60.2561,32.8444,0.9919,0.9913
