probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.1298,0.0652,0.1122,62.2287,51.2788,26.9076,0.9168,0.7429
mlp,0.4952,0.3866,0.3094,65.6303,54.3982,28.8977,-1.9289,-0.9535
