pose,d0,d1,d2,d3
x,0.9980,0.0551,0.3977,0.0549
y,0.0528,0.9959,0.0284,0.3657
cos_th,0.3869,0.0294,0.9995,0.0530
sin_th,0.0502,0.3565,0.0441,0.9994
