step,epoch,recon,dyn,pred_recon,var,anchor,anchor_pred,total,latent_std
50,1,0.5417702198028564,0.002112830523401499,0.5454341769218445,0.0,0.2778658866882324,0.2777637243270874,1.644946813583374,0.46373212337493896
100,1,0.3785199224948883,0.002211072016507387,0.3711254894733429,0.0,0.29126036167144775,0.2909064292907715,1.3340232372283936,0.4654645025730133
150,1,0.3443281352519989,0.0016103623202070594,0.33033958077430725,0.0,0.3281199336051941,0.3277527689933777,1.3321508169174194,0.468176007270813
200,1,0.3388538062572479,0.0036460505798459053,0.32291358709335327,0.0,0.33298730850219727,0.3329686224460602,1.331369400024414,0.4603346586227417
250,1,0.30784618854522705,0.001430736854672432,0.2883404791355133,0.0,0.29320061206817627,0.2932387590408325,1.1840567588806152,0.4733218252658844
300,1,0.29566261172294617,0.005266757216304541,0.2818436622619629,0.0,0.3150367736816406,0.3153332769870758,1.2131431102752686,0.4615868628025055
350,1,0.27851802110671997,0.0014123618602752686,0.2679675817489624,0.0,0.2941362261772156,0.2939773499965668,1.1360114812850952,0.4633437395095825
400,1,0.26911038160324097,0.005543028935790062,0.2576698064804077,0.0,0.26820284128189087,0.2689123749732971,1.0694384574890137,0.47583669424057007
450,1,0.2679210305213928,0.005421641282737255,0.2582957446575165,0.0,0.25546759366989136,0.2562863230705261,1.043392300605774,0.47788089513778687
500,1,0.2632920742034912,0.005441337823867798,0.2611977159976959,0.0,0.16420762240886688,0.16533538699150085,0.8594741225242615,0.4954909086227417
550,1,0.26706844568252563,0.009818993508815765,0.2680591940879822,0.0,0.04192660003900528,0.04217250272631645,0.6290457844734192,0.5008460283279419
600,1,0.22982381284236908,0.007449609227478504,0.23142945766448975,0.0,0.015253420919179916,0.015111728571355343,0.499068021774292,0.502142608165741
650,1,0.20839044451713562,0.0038125417195260525,0.20924443006515503,0.0,0.008740464225411415,0.008644714020192623,0.4388325810432434,0.4972892105579376
700,1,0.20048405230045319,0.002508135512471199,0.20224711298942566,0.0,0.0072786035016179085,0.0073375701904296875,0.4198554456233978,0.4951310157775879
750,1,0.2016572803258896,0.0025346786715090275,0.20469450950622559,0.0,0.00673611368983984,0.006779282819479704,0.4224018454551697,0.4994419813156128
800,1,0.19396820664405823,0.005162357352674007,0.19418412446975708,0.0,0.008832895196974277,0.009196275845170021,0.41134387254714966,0.4917294681072235
850,1,0.19461360573768616,0.0022997562773525715,0.19380171597003937,0.0,0.006731211207807064,0.006879088934510946,0.40432536602020264,0.4980607032775879
900,1,0.178152933716774,0.0022523077204823494,0.18272548913955688,0.0,0.004595913924276829,0.004597878083586693,0.37232452630996704,0.4905144274234772
950,1,0.18373903632164001,0.001906517194584012,0.1829359531402588,0.0,0.004322790540754795,0.004283481277525425,0.3771877884864807,0.49231311678886414
1000,1,0.17734183371067047,0.001646942924708128,0.1785481870174408,0.0,0.004678926896303892,0.00476616807281971,0.3669820725917816,0.48778587579727173
1050,1,0.17210260033607483,0.001699855551123619,0.1733480840921402,0.0,0.0038813890423625708,0.003928306978195906,0.35496023297309875,0.49183765053749084
1100,1,0.16752678155899048,0.001501620514318347,0.17043396830558777,0.0,0.003913938999176025,0.004010808188468218,0.3473871052265167,0.48940911889076233
1150,1,0.17010928690433502,0.0016276908572763205,0.17108795046806335,0.0,0.003334060311317444,0.003374259453266859,0.3495332598686218,0.4833383560180664
1200,1,0.16280695796012878,0.0015657286858186126,0.16367237269878387,0.0,0.003343659918755293,0.0034290808252990246,0.3348177969455719,0.4830275774002075
1250,1,0.16111913323402405,0.0015285377157852054,0.16327372193336487,0.0,0.0031015705317258835,0.003163390327244997,0.33218634128570557,0.4861396551132202
1300,1,0.16137531399726868,0.0015063774771988392,0.16130422055721283,0.0,0.0029396554455161095,0.0029775749426335096,0.3301031291484833,0.48418986797332764
1350,1,0.16092833876609802,0.001159533392637968,0.162801593542099,0.0,0.0029260581359267235,0.0029691196978092194,0.3307846486568451,0.48552656173706055
1400,1,0.15953397750854492,0.001451865304261446,0.1586623191833496,0.0,0.0029441695660352707,0.002993411384522915,0.3255857229232788,0.48210152983665466
1450,1,0.15533491969108582,0.0013451592531055212,0.1577514111995697,0.0,0.0025270055048167706,0.0025470166001468897,0.319505512714386,0.47967395186424255
1500,1,0.15593299269676208,0.0012470022775232792,0.15340253710746765,0.0,0.0023684632033109665,0.0023686359636485577,0.31531962752342224,0.48435306549072266
1550,1,0.15168751776218414,0.0010733678936958313,0.1527562141418457,0.0,0.0023112487979233265,0.002380052348598838,0.31020841002464294,0.4778951108455658
1600,1,0.15407398343086243,0.001286463113501668,0.15471573173999786,0.0,0.002553572878241539,0.0026102112606167793,0.31523996591567993,0.48138993978500366
1650,1,0.1547100692987442,0.0012292794417589903,0.15349489450454712,0.0,0.002273213816806674,0.00227658124640584,0.3139840364456177,0.47782987356185913
1700,1,0.15046648681163788,0.0010730063077062368,0.15054979920387268,0.0,0.002024082001298666,0.002069166861474514,0.30618253350257874,0.4791272282600403
