probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0317,0.0228,0.0219,2.4912,2.0336,0.0000,0.9898,0.9902
mlp,0.0214,0.0152,0.0150,2.3059,1.9324,0.0000,0.9955,0.9954
