probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0313,0.0230,0.0212,2.5707,2.1056,0.0000,0.9897,0.9908
mlp,0.0303,0.0224,0.0204,2.5061,2.0659,0.0000,0.9901,0.9915
