probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,x_r2,y_r2
chance,0.3168,0.2265,0.2214,90.0000,90.0000,0.0000,0.0000
linear,0.0430,0.0310,0.0298,60.6815,47.9782,0.9812,0.9819
mlp,0.0311,0.0223,0.0216,54.8487,24.2924,0.9903,0.9904
