pose,d0,d1,d2,d3
x,0.9973,0.0287,0.3752,0.0284
y,0.0348,0.9974,0.0297,0.3544
cos_th,0.3395,0.0343,0.9987,-0.0083
sin_th,0.0352,0.3192,-0.0087,0.9985
