probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3158,0.2215,0.2250,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0191,0.0137,0.0133,2.2497,1.8353,0.0000,0.9962,0.9965
mlp,0.0129,0.0094,0.0088,1.9043,1.5735,0.0000,0.9982,0.9985
