pose,d0,d1,d2,d3
x,0.9979,0.0442,0.4474,0.0298
y,0.0466,0.9976,0.0339,0.4278
cos_th,0.4245,0.0366,0.9995,0.0017
sin_th,0.0300,0.4032,-0.0018,0.9995
