step,epoch,recon,dyn,pred_recon,var,l1,anchor,anchor_pred,total,latent_std
50,1,0.500722348690033,0.006724618840962648,0.5147875547409058,0.0,0.01299371849745512,0.2984188199043274,0.29838472604751587,1.6190509796142578,0.462879478931427
100,1,0.40787768363952637,0.006441159173846245,0.39260202646255493,0.0,0.025874778628349304,0.2836349904537201,0.28309401869773865,1.37367582321167,0.46839985251426697
150,1,0.35418078303337097,0.002828179392963648,0.34814661741256714,0.0,0.03856100142002106,0.2094443440437317,0.2093183845281601,1.1239569187164307,0.4761841893196106
200,1,0.3383280634880066,0.008309166878461838,0.33289507031440735,0.0,0.04960611090064049,0.13520732522010803,0.13591399788856506,0.9507032036781311,0.5089825391769409
250,1,0.30548548698425293,0.008198636583983898,0.31428205966949463,0.0,0.04609271138906479,0.030886230990290642,0.03074423037469387,0.6896427273750305,0.4967132806777954
300,1,0.25941264629364014,0.00421949801966548,0.2608358860015869,0.0,0.03416840359568596,0.0131570715457201,0.012964380905032158,0.5506236553192139,0.49946966767311096
350,1,0.2403365522623062,0.005225476808845997,0.2448086440563202,0.0,0.02845141664147377,0.011606648564338684,0.011404103599488735,0.5134099125862122,0.4983420968055725
400,1,0.23206642270088196,0.0026873773895204067,0.23406173288822174,0.0,0.025728465989232063,0.009511860087513924,0.009469621814787388,0.4878227412700653,0.5007697343826294
450,1,0.22338896989822388,0.002329277340322733,0.22728735208511353,0.0,0.02481195703148842,0.006855890154838562,0.006806697230786085,0.4666930139064789,0.5001484155654907
500,1,0.21428680419921875,0.002017499879002571,0.2169133573770523,0.0,0.02426835335791111,0.006641349755227566,0.006613723002374172,0.44649696350097656,0.4977935552597046
550,1,0.20323312282562256,0.0018585548968985677,0.20588289201259613,0.0,0.02496972307562828,0.006416460499167442,0.006404085550457239,0.4238200783729553,0.4960893988609314
600,1,0.19782721996307373,0.0021651065908372402,0.2017425298690796,0.0,0.025443794205784798,0.0054258438758552074,0.005433087237179279,0.4126192331314087,0.49074089527130127
650,1,0.18988674879074097,0.002605436835438013,0.19093316793441772,0.0,0.025951547548174858,0.004961574915796518,0.004997233860194683,0.3934101164340973,0.4897869825363159
700,1,0.19808241724967957,0.0020406516268849373,0.1994187980890274,0.0,0.026952892541885376,0.006475609727203846,0.00645838538184762,0.41250279545783997,0.48904719948768616
750,1,0.18519416451454163,0.0017876764759421349,0.18829645216464996,0.0,0.027708005160093307,0.0037621785886585712,0.0037874942645430565,0.38285568356513977,0.48663264513015747
800,1,0.17944902181625366,0.0015133465640246868,0.1820681095123291,0.0,0.029031479731202126,0.0033330267760902643,0.003337213769555092,0.36972975730895996,0.4884529411792755
850,1,0.18535330891609192,0.0016302443109452724,0.18380576372146606,0.0,0.029875585809350014,0.003410032019019127,0.0034089083783328533,0.3776381313800812,0.4896157681941986
900,1,0.1761186718940735,0.0014426452107727528,0.17783072590827942,0.0,0.030256982892751694,0.003113354789093137,0.0031428299844264984,0.36167848110198975,0.48485153913497925
950,1,0.17099624872207642,0.001331884996034205,0.17310233414173126,0.0,0.03109419345855713,0.0026910752058029175,0.0027037987019866705,0.3508564233779907,0.4841204881668091
1000,1,0.16867570579051971,0.001432557008229196,0.16723717749118805,0.0,0.03058595210313797,0.0028783585876226425,0.002904163207858801,0.3431585133075714,0.48212987184524536
1050,1,0.1667235940694809,0.0012274417094886303,0.17070570588111877,0.0,0.030430452898144722,0.00260142027400434,0.0026138368993997574,0.3439024090766907,0.48162931203842163
