pose,d0,d1,d2,d3
x,-0.0163,-0.0913,-0.1296,-0.4799
y,0.0003,0.0651,-0.1542,0.0469
cos_th,0.0266,-0.0162,0.0739,-0.5666
sin_th,0.2920,-0.0594,-0.6421,-0.0666
