horizon,drift_one,drift_model,drift_oracle
0,0.02731,0.02731,0.02731
1,0.02391,0.02788,0.02753
2,0.04142,0.02911,0.02833
3,0.06433,0.03087,0.02955
4,0.08826,0.03290,0.03095
5,0.11253,0.03522,0.03259
6,0.13685,0.03773,0.03435
7,0.16127,0.04042,0.03629
8,0.18546,0.04321,0.03832
