step,epoch,total,recon,dyn,pred_recon,anchor,anchor_pred,gain,a_v_mean
50,1,1.7108500003814697,0.541236400604248,0.030245138332247734,0.5378004908561707,0.25346338748931885,0.25265589356422424,0.09544877707958221,0.9698586463928223
100,1,1.5334945917129517,0.5552866458892822,0.03521409630775452,0.5258707404136658,0.18551909923553467,0.18482264876365662,0.04678143560886383,0.8645880222320557
150,1,1.0545536279678345,0.43816834688186646,0.05278518423438072,0.4309699535369873,0.04872831702232361,0.04941879212856293,0.0344829335808754,0.7977595329284668
200,1,0.8461654186248779,0.3812943398952484,0.031722068786621094,0.3835778832435608,0.012505876831710339,0.01257698331028223,0.02448824606835842,0.7791909575462341
250,1,0.8034164309501648,0.3672069311141968,0.019732510671019554,0.365955650806427,0.00980781577527523,0.009839797392487526,0.030873702839016914,0.8273879289627075
300,1,0.7559237480163574,0.35589152574539185,0.007662728428840637,0.3581722378730774,0.0063032833859324455,0.006389865651726723,0.021504106000065804,0.7547733783721924
350,2,0.715135931968689,0.3392508029937744,0.006116217002272606,0.34007924795150757,0.005275573115795851,0.005376401357352734,0.019037706777453423,0.6835767030715942
400,2,0.7024867534637451,0.32961350679397583,0.008793855085968971,0.3321700096130371,0.006193943787366152,0.006242847070097923,0.019472569227218628,0.6513936519622803
450,2,0.682332456111908,0.32480430603027344,0.007206428330391645,0.32210636138916016,0.004753368906676769,0.004853871650993824,0.018608130514621735,0.6749053597450256
500,2,0.6699618101119995,0.3192233741283417,0.005608392413705587,0.3161974251270294,0.004268390592187643,0.004292819648981094,0.020371384918689728,0.6801250576972961
550,2,0.6656787395477295,0.3157788813114166,0.00553363049402833,0.3156214952468872,0.0029186669271439314,0.0029861326329410076,0.022839874029159546,0.744500458240509
600,2,0.6501598358154297,0.31004640460014343,0.004097487777471542,0.3101949095726013,0.003051215782761574,0.0031048518139868975,0.019664965569972992,0.7019535303115845
650,2,0.6360655426979065,0.3035203218460083,0.004850829020142555,0.30455365777015686,0.002147217746824026,0.002187300706282258,0.018806222826242447,0.6855612993240356
700,3,0.650615394115448,0.30833032727241516,0.005038317292928696,0.3085399270057678,0.003350230399519205,0.0033692684955894947,0.021987317129969597,0.7030877470970154
750,3,0.6361905336380005,0.29604572057724,0.004205902572721243,0.2995573878288269,0.0019715053495019674,0.0019784371834248304,0.032431527972221375,0.8199476003646851
800,3,0.6273338794708252,0.29824647307395935,0.004207156132906675,0.2999996244907379,0.0018696923507377505,0.0019400683231651783,0.021070916205644608,0.7211971879005432
850,3,0.6263027787208557,0.3001464605331421,0.0038036524783819914,0.2987789511680603,0.002032490447163582,0.0020816572941839695,0.019459567964076996,0.6869641542434692
900,3,0.6195307970046997,0.2971228361129761,0.003787967609241605,0.2959822416305542,0.00187314220238477,0.0019167460268363357,0.018847834318876266,0.7179219722747803
950,3,0.6258188486099243,0.2938506305217743,0.005131260957568884,0.29325157403945923,0.0020195497199892998,0.002112331334501505,0.029453517869114876,0.5933266878128052
1000,3,0.6132708787918091,0.29218432307243347,0.0037880681920796633,0.2903262972831726,0.0032920981757342815,0.0032864948734641075,0.02039361745119095,0.7505196332931519
1050,4,0.668891429901123,0.3107694685459137,0.011304407380521297,0.30321258306503296,0.011788942851126194,0.011869480833411217,0.019946487620472908,0.647864818572998
1100,4,0.611257791519165,0.2890831530094147,0.00587453693151474,0.2891840636730194,0.0022977315820753574,0.0023421174846589565,0.02247617393732071,0.761326789855957
1150,4,0.6201468110084534,0.2868652939796448,0.008897448889911175,0.29031094908714294,0.0020863565150648355,0.0022167866118252277,0.02976997382938862,0.6022539138793945
1200,4,0.6907727718353271,0.2968219220638275,0.03778466209769249,0.2983563244342804,0.018858905881643295,0.019069241359829903,0.019881676882505417,0.708678126335144
1250,4,0.8456717729568481,0.34617239236831665,0.12099821865558624,0.33493924140930176,0.01105978898704052,0.011116206645965576,0.021385952830314636,0.742443323135376
