probe,pos_rmse,x_rmse,y_rmse,theta_mae_deg,theta_median_deg,theta_flip_pct,x_r2,y_r2
chance,0.3158,0.2215,0.2250,90.0000,90.0000,50.0000,0.0000,0.0000
linear,0.0118,0.0083,0.0084,1.9182,1.5864,0.0000,0.9986,0.9986
mlp,0.0087,0.0062,0.0062,1.6744,1.3945,0.0000,0.9992,0.9993
