step,epoch,pred,sigreg,anchor,anchor_pred,total,latent_std
50,1,0.030157245695590973,9.209760665893555,0.4145285487174988,0.4144209027290344,0.9051554799079895,0.9406887888908386
100,1,0.09726843237876892,8.028340339660645,0.2680831551551819,0.22832752764225006,0.6338207721710205,0.8422907590866089
150,1,0.10028502345085144,4.754843235015869,0.16353432834148407,0.07282562553882599,0.3604191839694977,0.9102840423583984
200,1,0.06876133382320404,3.9304614067077637,0.10461805760860443,0.03775327652692795,0.23078496754169464,0.961909294128418
250,1,0.059181906282901764,3.7714924812316895,0.0615750253200531,0.026452288031578064,0.16606667637825012,0.96630859375
300,1,0.08399775624275208,3.4421544075012207,0.08929793536663055,0.06850802153348923,0.2590144872665405,0.9555547833442688
350,1,0.05013842135667801,3.575070381164551,0.03980740159749985,0.0292215496301651,0.13704273104667664,0.979395866394043
400,1,0.051204122602939606,3.689058303833008,0.030420666560530663,0.02559540420770645,0.12566548585891724,0.9716090559959412
450,1,0.05469544976949692,3.858665943145752,0.034054890275001526,0.036572568118572235,0.1446162462234497,0.9803988337516785
500,1,0.0480327345430851,3.8661019802093506,0.020786479115486145,0.018207676708698273,0.1063574030995369,0.9785857200622559
550,1,0.04254637286067009,3.7581872940063477,0.02194308117032051,0.017265528440475464,0.10054591298103333,0.9794754981994629
600,1,0.053869377821683884,3.588772773742676,0.022072158753871918,0.0164271742105484,0.1103125736117363,0.971771240234375
650,1,0.04612491652369499,3.684483051300049,0.018844516947865486,0.01515266578644514,0.09854450821876526,0.9675388336181641
700,1,0.050955239683389664,3.7379865646362305,0.023041877895593643,0.016735771670937538,0.10942282527685165,0.9709248542785645
750,1,0.041397228837013245,3.7618155479431152,0.026092229411005974,0.025701113045215607,0.11199964582920074,0.9740885496139526
800,1,0.049995824694633484,3.700568675994873,0.020432138815522194,0.018022246658802032,0.10695305466651917,0.9704734683036804
850,1,0.04945269599556923,3.5123984813690186,0.024282507598400116,0.0271785706281662,0.1184757649898529,0.9631051421165466
900,1,0.04201994091272354,3.4792401790618896,0.024027973413467407,0.025692777708172798,0.10913689434528351,0.9780538082122803
950,1,0.04119056463241577,3.3438103199005127,0.026176460087299347,0.020805686712265015,0.10489176213741302,0.9773726463317871
1000,1,0.05530095845460892,3.58504056930542,0.028152737766504288,0.02435360662639141,0.12573251128196716,0.9782279133796692
1050,1,0.04936480149626732,3.3651070594787598,0.023970814421772957,0.018323786556720734,0.10848493129014969,0.9754887819290161
1100,1,0.05497302487492561,3.4719138145446777,0.020577354356646538,0.01681012474000454,0.10972006618976593,0.9673185348510742
1150,1,0.04115914925932884,3.5810446739196777,0.01436532661318779,0.00942031480371952,0.08285001665353775,0.9729523062705994
1200,1,0.0488714873790741,3.2365646362304688,0.024256225675344467,0.019934946671128273,0.10924548655748367,0.9780343770980835
1250,1,0.035811152309179306,3.292660713195801,0.015254901722073555,0.012404348701238632,0.07993371039628983,0.9793955683708191
1300,1,0.04053773358464241,3.1905765533447266,0.019093940034508705,0.017931824550032616,0.09351637959480286,0.9788458347320557
1350,1,0.04308642819523811,3.3420867919921875,0.013780149631202221,0.009921450167894363,0.08349846303462982,0.9729058742523193
1400,2,0.033151134848594666,3.522441864013672,0.01583465375006199,0.012695376761257648,0.0792933776974678,0.9779626727104187
1450,2,0.03445107489824295,3.1291961669921875,0.014704704284667969,0.011429518461227417,0.07623127847909927,0.9778236150741577
1500,2,0.041947830468416214,3.3840770721435547,0.03161611407995224,0.027699783444404602,0.11818411201238632,0.9788851141929626
1550,2,0.03141114488244057,2.989875078201294,0.014016365632414818,0.012844353914260864,0.07322123646736145,0.9816696643829346
1600,2,0.037263378500938416,3.086305856704712,0.01200813427567482,0.009991704486310482,0.07469475269317627,0.9758287668228149
1650,2,0.029538050293922424,3.1091902256011963,0.017659951001405716,0.013800304383039474,0.07654425501823425,0.9775025248527527
1700,2,0.03688956797122955,2.907609462738037,0.010197966359555721,0.007412382867187262,0.06903795897960663,0.9745231866836548
1750,2,0.03567493334412575,3.1050939559936523,0.021764589473605156,0.013993548229336739,0.08695854246616364,0.9766908884048462
1800,2,0.035052523016929626,3.306467294692993,0.009236837737262249,0.006601646542549133,0.06742334365844727,0.9753179550170898
