pose,d0,d1,d2,d3
x,-0.1225,-0.0441,-0.0702,0.1199
y,-0.1145,-0.0368,0.6023,0.0364
cos_th,-0.0838,-0.0188,0.1236,-0.2634
sin_th,0.0438,0.0016,-0.1182,-0.1544
