t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.65000,0.95993,0.15000,55.000
1,0.16268,0.66544,0.88338,0.16544,50.614
2,0.17874,0.67733,0.63713,0.17733,36.505
3,0.19709,0.68524,0.40679,0.18524,23.308
4,0.21671,0.68906,0.19248,0.18906,11.028
5,0.23669,0.68910,0.00199,0.18910,0.114
6,0.25652,0.68662,-0.12466,0.18662,-7.143
7,0.27590,0.68176,-0.24556,0.18176,-14.070
8,0.29525,0.67679,-0.25112,0.17679,-14.388
9,0.31429,0.67072,-0.30885,0.17072,-17.696
10,0.33335,0.66472,-0.30497,0.16472,-17.473
11,0.35207,0.65773,-0.35721,0.15773,-20.467
12,0.37131,0.65234,-0.27330,0.15234,-15.659
13,0.39062,0.64719,-0.26053,0.14719,-14.927
14,0.40986,0.64180,-0.27319,0.14180,-15.653
15,0.42905,0.63623,-0.28245,0.13623,-16.183
16,0.44835,0.63102,-0.26368,0.13102,-15.108
17,0.46769,0.62603,-0.25266,0.12603,-14.476
18,0.48718,0.62159,-0.22384,0.12159,-12.825
