t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.67000,0.95993,0.17000,55.000
1,0.16214,0.68587,0.91807,0.18587,52.601
2,0.17733,0.69885,0.70679,0.19885,40.496
3,0.19465,0.70881,0.52202,0.20881,29.909
4,0.21342,0.71569,0.35109,0.21569,20.116
5,0.23276,0.72070,0.25345,0.22070,14.522
6,0.25260,0.72308,0.11973,0.22308,6.860
7,0.27252,0.72151,-0.07891,0.22151,-4.521
8,0.29165,0.71573,-0.29326,0.21573,-16.803
9,0.30978,0.70733,-0.43400,0.20733,-24.866
10,0.32730,0.69772,-0.50185,0.19772,-28.754
11,0.34510,0.68865,-0.47119,0.18865,-26.997
12,0.36406,0.68234,-0.32091,0.18234,-18.387
13,0.38334,0.67708,-0.26660,0.17708,-15.275
14,0.40283,0.67265,-0.22333,0.17265,-12.796
15,0.42234,0.66833,-0.21829,0.16833,-12.507
16,0.44184,0.66400,-0.21837,0.16400,-12.511
17,0.46142,0.66000,-0.20128,0.16000,-11.533
18,0.48084,0.65527,-0.23909,0.15527,-13.699
