t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.60000,0.95993,0.10000,55.000
1,0.16234,0.61572,0.90536,0.11572,51.873
2,0.17709,0.62919,0.73990,0.12919,42.393
3,0.19443,0.63913,0.52071,0.13913,29.835
4,0.21345,0.64524,0.31085,0.14524,17.810
5,0.23332,0.64741,0.10842,0.14741,6.212
6,0.25324,0.64589,-0.07597,0.14589,-4.353
7,0.27314,0.64406,-0.09189,0.14406,-5.265
8,0.29298,0.64164,-0.12114,0.14164,-6.941
9,0.31263,0.63803,-0.18200,0.13803,-10.428
10,0.33206,0.63335,-0.23618,0.13335,-13.532
11,0.35152,0.62883,-0.22825,0.12883,-13.078
12,0.37117,0.62517,-0.18423,0.12517,-10.555
13,0.39074,0.62115,-0.20248,0.12115,-11.601
14,0.41028,0.61696,-0.21100,0.11696,-12.090
15,0.42970,0.61226,-0.23752,0.11226,-13.609
16,0.44911,0.60752,-0.23981,0.10752,-13.740
17,0.46866,0.60337,-0.20918,0.10337,-11.985
18,0.48828,0.59959,-0.19024,0.09959,-10.900
