t,x,y,theta_rad,lateral_err,heading_deg
0,0.15000,0.55000,0.95993,0.05000,55.000
1,0.16282,0.56533,0.87422,0.06533,50.089
2,0.17807,0.57824,0.70229,0.07824,40.238
3,0.19474,0.58925,0.58409,0.08925,33.466
4,0.21296,0.59746,0.42338,0.09746,24.258
5,0.23226,0.60264,0.26218,0.10264,15.022
6,0.25211,0.60498,0.11736,0.10498,6.724
7,0.27209,0.60473,-0.01252,0.10473,-0.717
8,0.29198,0.60285,-0.09427,0.10285,-5.401
9,0.31177,0.60008,-0.13900,0.10008,-7.964
10,0.33143,0.59649,-0.18075,0.09649,-10.356
11,0.35087,0.59190,-0.23194,0.09190,-13.289
12,0.37057,0.58852,-0.16970,0.08852,-9.723
13,0.39026,0.58513,-0.17043,0.08513,-9.765
14,0.40974,0.58068,-0.22475,0.08068,-12.878
15,0.42932,0.57668,-0.20150,0.07668,-11.545
16,0.44884,0.57239,-0.21629,0.07239,-12.393
17,0.46856,0.56918,-0.16140,0.06918,-9.247
18,0.48825,0.56578,-0.17132,0.06578,-9.816
